,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1914-01-01,-10,-2.9,0.8,0.7,Уфа
2,1914-01-02,-18.8,-15.6,-9.4,0.6,Уфа
3,1914-01-03,-13.2,-4.6,-4.2,1.1,Уфа
4,1914-01-04,-4.5,0.5,1.2,0.6,Уфа
5,1914-01-05,-14.7,-10.2,0.5,0.3,Уфа
6,1914-01-06,-23.1,-12.8,-1,1.4,Уфа
7,1914-01-07,-6.5,-2.9,-0.1,3.1,Уфа
8,1914-01-08,-5.4,-3.9,0,1.4,Уфа
9,1914-01-09,-6.5,-4.9,-3.2,3.5,Уфа
10,1914-01-10,-7.5,-6.4,-5.2,0.5,Уфа
11,1914-01-11,-11.5,-8.8,-6.4,0,Уфа
12,1914-01-12,-14.7,-11,-8.9,0,Уфа
13,1914-01-13,-16.7,-11.6,-8.5,0,Уфа
14,1914-01-14,-16.6,-11,-9.4,0.6,Уфа
15,1914-01-15,-14.2,-12.8,-11.2,1.8,Уфа
16,1914-01-16,-19,-13.3,-10.8,4.4,Уфа
17,1914-01-17,-21.3,-16.9,-13.2,1,Уфа
18,1914-01-18,-30.1,-29.2,-20,0.5,Уфа
19,1914-01-19,-33.8,-22.7,-18,2.9,Уфа
20,1914-01-20,-22.1,-16.9,-12.9,0,Уфа
21,1914-01-21,-18.8,-15.8,-12.6,0,Уфа
22,1914-01-22,-20.7,-14.2,-10,5.1,Уфа
23,1914-01-23,-10.6,-9.4,-7,2.4,Уфа
24,1914-01-24,-27.8,-23.2,-10.1,0,Уфа
25,1914-01-25,-28.6,-20.8,-16,1.6,Уфа
26,1914-01-26,-16.1,-9.2,-5,7.7,Уфа
27,1914-01-27,-5.2,-1.7,0.6,2.6,Уфа
28,1914-01-28,-3,-0.9,0.9,0.6,Уфа
29,1914-01-29,-19.6,-13.6,-2.5,0.4,Уфа
30,1914-01-30,-20.3,-12.2,-9.9,0.3,Уфа
31,1914-01-31,-13.6,-12.4,-10,1.1,Уфа
33,1914-02-01,-12.3,-9.5,-8.5,3.3,Уфа
34,1914-02-02,-10.1,-7.3,-6,6.9,Уфа
35,1914-02-03,-6.3,-1.1,-0.2,4.6,Уфа
36,1914-02-04,-5.4,-1.3,1,2.5,Уфа
37,1914-02-05,-16.1,-13.5,-5,0,Уфа
38,1914-02-06,-15.4,-9.3,-1,7.8,Уфа
39,1914-02-07,-19.2,-16.4,-8,0,Уфа
40,1914-02-08,-19.1,-13.3,-12.7,0,Уфа
41,1914-02-09,-19.6,-15.6,-13,5.6,Уфа
42,1914-02-10,-13.3,-0.8,0.4,5.5,Уфа
43,1914-02-11,-1.8,-0.3,1.1,3.9,Уфа
44,1914-02-12,-16,-12.5,-1.6,0,Уфа
45,1914-02-13,-21.3,-19.1,-15.2,1.7,Уфа
46,1914-02-14,-19.6,-11.2,-10.1,4.4,Уфа
47,1914-02-15,-10.2,-3.7,-2.3,0.9,Уфа
48,1914-02-16,-5.7,-4.2,-2.1,2,Уфа
49,1914-02-17,-8.1,-6.2,-4.5,4.1,Уфа
50,1914-02-18,-4.7,-0.9,0.4,9.9,Уфа
51,1914-02-19,-2.1,-1.1,0.2,1.8,Уфа
52,1914-02-20,-4.2,-3.3,-1.5,0.8,Уфа
53,1914-02-21,-7,-2.4,-0.8,5.1,Уфа
54,1914-02-22,-1,0.1,1,3,Уфа
55,1914-02-23,-3.4,-1.5,1,3.7,Уфа
56,1914-02-24,-5.7,-3.9,-1.2,0.7,Уфа
57,1914-02-25,-13.7,-8.2,-4.4,0.6,Уфа
58,1914-02-26,-22,-19.5,-13.6,0,Уфа
59,1914-02-27,-23.1,-20.1,-16,1.4,Уфа
60,1914-02-28,-24.7,-16.9,-12,13.8,Уфа
62,1914-03-01,-13.8,-8.4,-2.7,4.5,Уфа
63,1914-03-02,-20.5,-16.8,-12.5,0,Уфа
64,1914-03-03,-21.8,-16.2,-11.5,0,Уфа
65,1914-03-04,-16.7,-10.6,-7.7,0.2,Уфа
66,1914-03-05,-12.6,-10.5,-6.7,0,Уфа
67,1914-03-06,-13.2,-6.8,-1.2,0,Уфа
68,1914-03-07,-12.5,-8.7,-4.5,0.9,Уфа
69,1914-03-08,-8.8,-1.5,2.2,1.2,Уфа
70,1914-03-09,-4.6,-0.8,3.3,1.5,Уфа
71,1914-03-10,-6.2,-4.3,-1,5.5,Уфа
72,1914-03-11,-6.6,-4.1,-1.1,7.9,Уфа
73,1914-03-12,-8,-1.2,2.2,12.3,Уфа
74,1914-03-13,-9.1,-4.7,1.2,4.4,Уфа
75,1914-03-14,-9.1,-7.9,-3.4,0.1,Уфа
76,1914-03-15,-9.4,-7.2,-3.1,2.1,Уфа
77,1914-03-16,-15.1,-10.9,-7,0.1,Уфа
78,1914-03-17,-15.9,-6.6,-2.3,7.7,Уфа
79,1914-03-18,-4.7,-1.5,1.3,2.4,Уфа
80,1914-03-19,-1.5,0.1,2.4,0,Уфа
81,1914-03-20,-6,-2.2,1.6,0,Уфа
82,1914-03-21,-3.6,-0.9,2.2,7.2,Уфа
83,1914-03-22,-4.9,-2.1,0,1.5,Уфа
84,1914-03-23,-10.2,-7.9,-4.3,0.8,Уфа
85,1914-03-24,-12.9,-7.6,-3.2,0.7,Уфа
86,1914-03-25,-10.3,-4.2,0.3,4.8,Уфа
87,1914-03-26,-7,-4.7,-2.1,18,Уфа
88,1914-03-27,-4.8,3.9,8.6,0,Уфа
89,1914-03-28,0.9,5.1,11,0,Уфа
90,1914-03-29,-1.1,2.5,8.4,0,Уфа
91,1914-03-30,-4.3,3,7.7,17.6,Уфа
92,1914-03-31,1.3,2.2,3.5,5.1,Уфа
94,1914-04-01,-1.8,0.8,3,1.7,Уфа
95,1914-04-02,-7.4,-3.4,1.5,0.9,Уфа
96,1914-04-03,-4,1.5,5.1,0.4,Уфа
97,1914-04-04,-3.1,-0.6,2.1,6.9,Уфа
98,1914-04-05,-3.6,-2,1,2.3,Уфа
99,1914-04-06,-5.6,-3.4,-1.5,0.9,Уфа
100,1914-04-07,-5.2,-1,1.5,0,Уфа
101,1914-04-08,-4.7,-1.1,3,0,Уфа
102,1914-04-09,-7.6,-0.4,3.8,10.8,Уфа
103,1914-04-10,-0.7,1.6,4.4,0,Уфа
104,1914-04-11,-0.6,1.4,4,10.6,Уфа
105,1914-04-12,-6.6,-2.7,3.3,3,Уфа
