,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-5.5,-3.4,0,0,Феодосия
2,1900-01-02,-6.3,0.3,5.1,1.4,Феодосия
3,1900-01-03,1.9,3,5,1.3,Феодосия
4,1900-01-04,2.5,6.4,8.4,0.8,Феодосия
5,1900-01-05,6.1,7.7,9.8,0,Феодосия
6,1900-01-06,1.5,6.4,9.4,0.1,Феодосия
7,1900-01-07,-2.1,1.7,8.3,0,Феодосия
8,1900-01-08,-7.7,-6.5,-2,0,Феодосия
9,1900-01-09,-11.1,-9.5,-7.3,0,Феодосия
10,1900-01-10,-13.7,-11.5,-7.7,0,Феодосия
11,1900-01-11,-10.7,-7.9,-6.6,0,Феодосия
12,1900-01-12,-10.2,-7.2,-5.3,0,Феодосия
13,1900-01-13,-6.2,-2.2,-1.1,0,Феодосия
14,1900-01-14,-2.3,0.9,4.4,0,Феодосия
15,1900-01-15,-1.7,1.7,4.4,0,Феодосия
16,1900-01-16,0.5,3.2,7.4,0.1,Феодосия
17,1900-01-17,-0.6,0.8,2.7,0,Феодосия
18,1900-01-18,-0.2,1.7,3.6,1.6,Феодосия
19,1900-01-19,-0.1,5.4,7.5,1.2,Феодосия
21,1900-02-13,1.9,5.4,8.3,0,Феодосия
22,1900-02-14,4.8,6.6,7.9,0,Феодосия
23,1900-02-15,5.3,7.8,10.5,0,Феодосия
24,1900-02-16,4.6,8.8,13.1,0,Феодосия
25,1900-02-17,-4.9,-3.7,4.6,0,Феодосия
26,1900-02-18,-3.9,-2.8,-2,2.7,Феодосия
27,1900-02-19,-4,-1,1.3,0,Феодосия
28,1900-02-20,-4,-0.4,3.5,0,Феодосия
29,1900-02-21,-0.2,4.4,6.9,0,Феодосия
30,1900-02-22,6.2,8.5,10.3,0,Феодосия
31,1900-02-23,3.3,7.2,9.9,0,Феодосия
32,1900-02-24,-1.3,-0.3,3.4,0,Феодосия
33,1900-02-25,-3.9,-2.4,-0.8,0,Феодосия
34,1900-02-26,-3.5,-2.6,-1.9,0.3,Феодосия
35,1900-02-27,-3.6,-2.4,-1.9,0,Феодосия
36,1900-02-28,-2.9,3.9,5.9,0,Феодосия
38,1900-03-01,5.4,7.7,9.1,0,Феодосия
39,1900-03-02,6.5,8.7,12.5,0,Феодосия
40,1900-03-03,5.8,8.1,9.3,0,Феодосия
41,1900-03-04,0.5,5.7,11.1,1,Феодосия
42,1900-03-05,-1.3,1.4,4.1,0,Феодосия
43,1900-03-06,-0.5,2.3,7.8,0,Феодосия
44,1900-03-07,-5.7,-2.4,-0.6,0,Феодосия
45,1900-03-08,-3.4,-1.3,1.2,0,Феодосия
46,1900-03-10,-9.9,-3.8,-0.1,0,Феодосия
47,1900-03-11,-0.6,2.4,5.4,0,Феодосия
48,1900-03-12,-1.2,1.6,6.5,0,Феодосия
49,1900-03-13,-2,1.3,3.7,0,Феодосия
50,1900-03-14,0.1,2.4,5.5,3.6,Феодосия
51,1900-03-15,4.2,7.7,8.9,0,Феодосия
52,1900-03-16,1.2,3.4,8.7,12.8,Феодосия
53,1900-03-17,1.2,4.6,7.4,3.9,Феодосия
54,1900-03-18,-0.1,2.5,5.1,9.1,Феодосия
55,1900-03-19,-0.6,1.7,2.8,0,Феодосия
56,1900-03-20,-2.2,-1.4,1.7,0,Феодосия
57,1900-03-21,-2.5,-1.9,-1.1,0,Феодосия
58,1900-03-22,-2.3,-1,-0.4,0.2,Феодосия
59,1900-03-23,-1,1,2.9,0,Феодосия
60,1900-03-24,-0.3,3.6,8.1,0,Феодосия
61,1900-03-25,3.5,6.5,9.2,1.1,Феодосия
62,1900-03-26,1.9,4.8,6.9,0,Феодосия
63,1900-03-27,3.8,5.2,8.1,0,Феодосия
64,1900-03-28,3.5,6.2,7.5,0,Феодосия
65,1900-03-29,5.8,7.2,9,0,Феодосия
66,1900-03-30,5.5,9,11.8,2.8,Феодосия
67,1900-03-31,8,11.1,15.7,0,Феодосия
69,1900-04-01,6.8,12.7,15.5,0,Феодосия
70,1900-04-02,4.1,7.4,12.2,13.8,Феодосия
71,1900-04-03,4.7,8.2,10.2,0,Феодосия
72,1900-04-04,6.2,8,11.6,0,Феодосия
73,1900-04-05,5.3,8.4,12.2,0,Феодосия
74,1900-04-06,5.4,8,11.4,0,Феодосия
75,1900-04-07,3.9,8.3,11.1,0,Феодосия
76,1900-04-08,7.1,10.1,13.7,6.8,Феодосия
77,1900-04-09,5.1,8.5,11.4,4.6,Феодосия
78,1900-04-10,3,4.7,7.1,0,Феодосия
79,1900-04-11,1.7,4.7,7.8,0,Феодосия
80,1900-04-12,1.9,4.2,6.5,0,Феодосия
81,1900-04-13,0.6,5.4,10.3,0,Феодосия
82,1900-04-14,3.3,7.9,10.3,0,Феодосия
83,1900-04-15,5.3,8.5,10.7,9.1,Феодосия
84,1900-04-16,6.8,11.1,13.1,0.4,Феодосия
85,1900-04-17,6.2,8.2,11.3,0,Феодосия
86,1900-04-18,5,11.2,17.1,0,Феодосия
87,1900-04-19,5.6,8.4,14.1,0,Феодосия
88,1900-04-20,3.7,12.2,17.9,0,Феодосия
89,1900-04-21,8.3,11.4,14.1,0,Феодосия
90,1900-04-22,8.2,9.3,11.1,0,Феодосия
91,1900-04-23,8.3,12.5,15.8,0,Феодосия
92,1900-04-24,8.7,12.3,17.5,6,Феодосия
93,1900-04-25,8.7,10.9,14.1,2.4,Феодосия
94,1900-04-26,8.7,10.3,13.6,0,Феодосия
95,1900-04-27,6.8,9.9,12.9,1.6,Феодосия
96,1900-04-28,6.7,9.7,11.5,0,Феодосия
97,1900-04-29,8,9.2,11.1,0,Феодосия
98,1900-04-30,6.8,10,13.8,0,Феодосия
100,1900-05-01,7.1,11.8,16.2,0,Феодосия
101,1900-05-02,7.3,13.4,18.2,0,Феодосия
102,1900-05-03,13.5,17.3,20.4,0,Феодосия
103,1900-05-04,9.5,11.2,18.5,0,Феодосия
104,1900-05-05,11.8,15.7,21.6,0,Феодосия
105,1900-05-06,12,14.7,17.1,0,Феодосия
106,1900-05-07,12.4,14.2,16.1,0,Феодосия
107,1900-05-08,12.1,13.2,16.3,0,Феодосия
108,1900-05-09,11.4,13.7,15.9,0,Феодосия
109,1900-05-10,11.2,14.1,15.7,0,Феодосия
110,1900-05-11,13,14.6,17.2,6.7,Феодосия
111,1900-05-12,7.5,8.4,14.6,2.4,Феодосия
112,1900-05-13,6.1,9.4,11.1,0,Феодосия
113,1900-05-14,5.7,11.8,15.1,0,Феодосия
114,1900-05-15,10,13.3,16.2,0,Феодосия
115,1900-05-16,10.3,15.8,17.7,0,Феодосия
116,1900-05-17,11.3,17.1,20.9,0,Феодосия
117,1900-05-18,12.9,17.8,20.1,0,Феодосия
118,1900-05-19,14.1,16.9,19.8,3.5,Феодосия
119,1900-05-20,15.4,16.8,18.9,2.9,Феодосия
120,1900-05-21,12.8,16.6,19.6,0,Феодосия
121,1900-05-22,12.3,15.3,18.4,0,Феодосия
122,1900-05-23,11.1,16.5,19.7,0,Феодосия
123,1900-05-24,11,16,18.6,0,Феодосия
124,1900-05-25,13.5,16.7,18.7,0,Феодосия
125,1900-05-26,15.4,21.1,25.9,0,Феодосия
126,1900-05-27,16.1,17.4,21,1.8,Феодосия
127,1900-05-28,14.5,19.8,26,0,Феодосия
128,1900-05-29,13.9,19.9,24.5,0,Феодосия
129,1900-05-30,15.1,22,27.6,0,Феодосия
130,1900-05-31,18.2,21.3,24.3,0,Феодосия
132,1900-06-01,17.2,19.1,21.6,0,Феодосия
133,1900-06-02,13.3,18.8,22.7,2.1,Феодосия
134,1900-06-03,17.7,21.1,26,0,Феодосия
135,1900-06-04,15.7,21.8,24.8,0,Феодосия
136,1900-06-05,15.9,22,26.3,0,Феодосия
137,1900-06-06,17.5,19.4,21.4,0,Феодосия
138,1900-06-07,16.2,20,23.4,0,Феодосия
139,1900-06-08,18.3,21.5,23.1,0,Феодосия
140,1900-06-09,17.5,19.6,22.9,5.6,Феодосия
141,1900-06-10,17.4,21.2,24.2,0,Феодосия
142,1900-06-11,18,20.7,23.5,0,Феодосия
143,1900-06-12,18,19.2,21.1,10.9,Феодосия
144,1900-06-13,16.5,20,24.1,3.1,Феодосия
145,1900-06-14,16,17.5,19.5,0,Феодосия
146,1900-06-15,15.1,19.6,22.5,1.7,Феодосия
147,1900-06-16,17.8,21.3,24.9,0,Феодосия
148,1900-06-17,16.8,19.8,22.3,0,Феодосия
149,1900-06-18,15.5,19.9,22.9,2.6,Феодосия
150,1900-06-19,16,19.7,22.4,0,Феодосия
151,1900-06-20,13,15.7,19.4,52.7,Феодосия
152,1900-06-21,14.3,17.9,22,0.9,Феодосия
153,1900-06-22,15.9,19.8,21.3,0,Феодосия
154,1900-06-23,19,21.2,24.3,0,Феодосия
155,1900-06-24,18.4,21.5,24.2,0,Феодосия
156,1900-06-25,16,19.5,23.6,19.1,Феодосия
157,1900-06-26,17.4,20.4,23,0,Феодосия
158,1900-06-27,17.8,20.5,23,0,Феодосия
159,1900-06-28,19.7,21.2,25.2,0,Феодосия
160,1900-06-29,18.1,20,22.7,1,Феодосия
161,1900-06-30,16.1,21,23.4,0,Феодосия
163,1900-07-01,18.1,20.3,23.8,0,Феодосия
164,1900-07-02,18,22.3,25.5,0.6,Феодосия
165,1900-07-03,19.3,20.1,24.2,5.2,Феодосия
166,1900-07-04,18.4,21.9,25.6,0,Феодосия
167,1900-07-05,19.7,23.6,26.4,0,Феодосия
168,1900-07-06,20.5,25.9,28.9,0,Феодосия
169,1900-07-07,20.5,25.4,28.3,0,Феодосия
170,1900-07-08,20.3,24.2,26,0,Феодосия
171,1900-07-09,20.5,25.2,28.7,0,Феодосия
172,1900-07-10,22.5,25.8,29.3,0,Феодосия
173,1900-07-11,20.7,24.5,27.2,0,Феодосия
174,1900-07-12,18.2,22.3,27.1,0,Феодосия
175,1900-07-13,17.4,22.6,25.3,0,Феодосия
176,1900-07-14,16.9,22,24.9,2.3,Феодосия
177,1900-07-15,20,21.1,22.9,3.4,Феодосия
178,1900-07-16,18,21,23.5,0,Феодосия
179,1900-07-17,18,23,27.2,0,Феодосия
180,1900-07-18,21,25.9,29,0,Феодосия
181,1900-07-19,22,24,27.4,0.8,Феодосия
