,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1952-05-08,0.3,7.1,13.2,0,Хабаровск
2,1952-05-09,6.7,12.9,18.8,0,Хабаровск
3,1952-05-10,5.5,14.6,22.1,0,Хабаровск
4,1952-05-11,3.5,8.9,21.9,1,Хабаровск
5,1952-05-12,-0.8,4.1,10,0,Хабаровск
6,1952-05-13,0.3,8,16.9,0,Хабаровск
7,1952-05-14,2,4.2,12.5,7.9,Хабаровск
8,1952-05-15,0.9,9.3,18.3,0,Хабаровск
9,1952-05-16,4.3,13.2,19,0,Хабаровск
10,1952-05-17,8,15.4,22.5,0,Хабаровск
11,1952-05-18,9.1,14,20.2,4.3,Хабаровск
12,1952-05-19,9.7,12.5,16.7,0,Хабаровск
13,1952-05-20,4.9,12.1,19.9,0,Хабаровск
14,1952-05-21,5,11,16.8,0,Хабаровск
15,1952-05-22,4.8,10.2,15.2,0,Хабаровск
16,1952-05-23,5.6,10.1,16,22.7,Хабаровск
17,1952-05-24,4.3,9.8,15.1,0,Хабаровск
18,1952-05-25,6.7,13.6,21.6,0,Хабаровск
19,1952-05-26,9.9,15.9,23.7,0,Хабаровск
20,1952-05-27,8.4,10,18.1,10.5,Хабаровск
21,1952-05-28,6.7,9.6,14.6,0.2,Хабаровск
22,1952-05-29,6.2,10.2,15.3,1.8,Хабаровск
23,1952-05-30,8.2,11.4,15.6,6,Хабаровск
24,1952-05-31,9.7,15.8,21.9,0,Хабаровск
26,1952-06-01,10.3,15.7,21.8,0,Хабаровск
27,1952-06-02,11.8,15.5,19.8,2,Хабаровск
28,1952-06-03,12.1,14.6,17.2,6.1,Хабаровск
29,1952-06-04,10.3,12.9,16,1.5,Хабаровск
30,1952-06-05,10.1,13.1,17.5,3.2,Хабаровск
31,1952-06-06,10.6,14.9,20.3,1.2,Хабаровск
32,1952-06-07,9.8,15.3,22.1,0,Хабаровск
33,1952-06-08,13.4,20.4,28.9,0,Хабаровск
34,1952-06-09,16.6,22.2,27.9,0,Хабаровск
35,1952-06-10,11.4,20,25.8,0,Хабаровск
36,1952-06-11,12.3,20,26.7,0,Хабаровск
37,1952-06-12,14.1,17.4,23.3,0.3,Хабаровск
38,1952-06-13,10.6,14.9,21.6,1.2,Хабаровск
39,1952-06-14,7.7,14.2,20.8,0,Хабаровск
40,1952-06-15,9.8,13.8,18.9,4.3,Хабаровск
41,1952-06-16,12.2,15.9,20.7,12.1,Хабаровск
42,1952-06-17,14.3,17.4,20.7,21.4,Хабаровск
43,1952-06-18,15.2,18.1,21.3,14.6,Хабаровск
44,1952-06-19,11.5,13.5,17.1,14.6,Хабаровск
45,1952-06-20,8.6,12.2,17.7,5.9,Хабаровск
46,1952-06-21,9.6,15.4,21.7,0,Хабаровск
47,1952-06-22,14.7,18.8,24.1,0,Хабаровск
48,1952-06-23,15.3,20.6,26.2,0,Хабаровск
49,1952-06-24,16.4,22.6,27.9,0,Хабаровск
50,1952-06-25,18.1,23.6,28.6,0,Хабаровск
51,1952-06-26,17.6,24.2,28.7,0,Хабаровск
52,1952-06-27,18.7,25.2,29.7,0,Хабаровск
53,1952-06-28,20.6,25.7,30.9,0,Хабаровск
54,1952-06-29,18.1,22.3,27,12.7,Хабаровск
55,1952-06-30,15.7,20.3,25.2,0.1,Хабаровск
57,1952-07-01,13.5,16.4,21.8,0,Хабаровск
58,1952-07-02,11.8,13.6,18.1,0,Хабаровск
59,1952-07-03,10.8,13.8,18,6.9,Хабаровск
60,1952-07-04,9.1,13.8,18.7,0,Хабаровск
61,1952-07-05,10.3,15.5,19.9,2.5,Хабаровск
62,1952-07-06,10.6,15.4,19.8,1.5,Хабаровск
63,1952-07-07,12.9,17.5,21.7,0,Хабаровск
64,1952-07-08,11.3,18.9,26.4,0,Хабаровск
65,1952-07-09,16.9,22,26.6,0,Хабаровск
66,1952-07-10,16.1,23.2,29.1,0,Хабаровск
67,1952-07-11,18,23.4,28.5,0,Хабаровск
68,1952-07-12,18.5,21.5,28.1,7.1,Хабаровск
69,1952-07-13,17.5,21.6,27.6,2.7,Хабаровск
70,1952-07-14,18.5,23,27.8,0,Хабаровск
71,1952-07-15,18.8,22.2,26.9,0.7,Хабаровск
72,1952-07-16,18.3,22.8,28.6,0,Хабаровск
73,1952-07-17,19.5,25.3,31.1,0,Хабаровск
74,1952-07-18,22,25.6,30,12.1,Хабаровск
75,1952-07-19,20.4,24.7,28.2,1.2,Хабаровск
76,1952-07-20,18.7,23.4,28.3,0,Хабаровск
77,1952-07-21,17.3,19.3,24.9,27.5,Хабаровск
78,1952-07-22,16.7,20,24.5,4.7,Хабаровск
79,1952-07-23,16.9,19.8,23.1,24.4,Хабаровск
80,1952-07-24,18.5,19.4,22.3,19.5,Хабаровск
81,1952-07-25,16.9,19.8,24.1,5.9,Хабаровск
82,1952-07-26,14.9,17.7,21.5,7.7,Хабаровск
83,1952-07-27,13.2,17.7,22.3,0,Хабаровск
84,1952-07-28,12.9,18.6,23.6,0,Хабаровск
85,1952-07-29,15.3,20.3,25.5,0,Хабаровск
86,1952-07-30,15.5,21.6,26.3,2.5,Хабаровск
87,1952-07-31,13.5,19.4,25.6,0,Хабаровск
89,1952-08-01,13.6,20.6,26.4,0,Хабаровск
90,1952-08-02,15.7,21,25.9,0,Хабаровск
91,1952-08-03,16.1,22.8,28.2,0,Хабаровск
92,1952-08-04,19,21.7,26.8,0,Хабаровск
93,1952-08-05,16.3,20.5,25,5.6,Хабаровск
94,1952-08-06,16.6,22,27,0,Хабаровск
95,1952-08-07,16.4,22.8,29.7,0,Хабаровск
96,1952-08-08,19.2,25,30.8,0,Хабаровск
97,1952-08-09,19.1,25.8,31.1,0,Хабаровск
98,1952-08-10,21.7,24.6,29.1,0,Хабаровск
99,1952-08-11,18.3,24.2,30.2,0,Хабаровск
100,1952-08-12,21.5,26.2,32.2,0,Хабаровск
101,1952-08-13,22.9,26.5,31.7,0,Хабаровск
102,1952-08-14,21.7,25.8,32.2,34,Хабаровск
103,1952-08-15,17.4,21.2,26.6,3.2,Хабаровск
104,1952-08-16,19,20.4,23.5,6.1,Хабаровск
105,1952-08-17,15.6,17.6,21.4,0,Хабаровск
106,1952-08-18,13.2,17.8,22.6,0,Хабаровск
107,1952-08-19,13.7,17.8,22.2,0,Хабаровск
108,1952-08-20,14.8,17.4,21.4,1.7,Хабаровск
109,1952-08-21,14.4,19.7,25.7,0.3,Хабаровск
110,1952-08-22,17.1,22.6,28.4,0,Хабаровск
111,1952-08-23,15.8,23,28.3,0,Хабаровск
112,1952-08-24,15.6,22.4,29.2,0,Хабаровск
113,1952-08-25,18.9,21.6,26.4,0,Хабаровск
114,1952-08-26,16.9,18.1,20.9,4,Хабаровск
115,1952-08-27,14.4,15.6,17.9,9.6,Хабаровск
116,1952-08-28,11.8,13.4,15.4,2.3,Хабаровск
117,1952-08-29,12.8,14.9,18.5,3.3,Хабаровск
118,1952-08-30,14.1,16.4,20.7,4.6,Хабаровск
119,1952-08-31,15.5,18.8,23.8,25.7,Хабаровск
121,1952-09-01,14.6,17.8,22,0,Хабаровск
122,1952-09-02,14.4,16.8,21.1,39.1,Хабаровск
123,1952-09-03,13.1,16.4,22.1,0,Хабаровск
124,1952-09-04,9.2,16.4,22.3,0,Хабаровск
125,1952-09-05,10,15.6,22.7,0,Хабаровск
126,1952-09-06,9.3,15.6,20.8,3.7,Хабаровск
127,1952-09-07,13,16.8,22.7,12,Хабаровск
128,1952-09-08,8,11.7,14.6,5.8,Хабаровск
129,1952-09-09,9.4,13,17.9,0,Хабаровск
130,1952-09-10,11.3,13.4,18,0.8,Хабаровск
131,1952-09-11,8.2,12.9,18.3,0,Хабаровск
132,1952-09-12,10.2,12,13.5,6.9,Хабаровск
133,1952-09-13,12,13,14.3,12.3,Хабаровск
134,1952-09-14,11.6,13.6,17.8,1.6,Хабаровск
135,1952-09-15,9.3,14,18.6,0,Хабаровск
136,1952-09-16,7.2,12.7,18.5,0,Хабаровск
137,1952-09-17,10,11.1,12.9,14.1,Хабаровск
138,1952-09-18,8.9,10.6,14.2,10.7,Хабаровск
139,1952-09-19,6.5,10.6,15.3,2,Хабаровск
140,1952-09-20,5.5,10,15.6,2.7,Хабаровск
141,1952-09-21,5.3,11.5,17.6,0,Хабаровск
142,1952-09-22,8.6,12.9,18.4,0,Хабаровск
143,1952-09-23,8.9,12.2,16.5,0,Хабаровск
144,1952-09-25,4.1,6.2,10.5,3.8,Хабаровск
145,1952-09-26,0.9,8.2,15.7,0,Хабаровск
146,1952-09-27,9,12.9,19.2,0,Хабаровск
147,1952-09-28,7.8,10.3,15.5,2.2,Хабаровск
148,1952-09-29,4.5,7.1,12,7.9,Хабаровск
149,1952-09-30,1.2,6.2,13,0.7,Хабаровск
151,1952-10-01,1.3,8.4,15.2,0,Хабаровск
152,1952-10-02,3.3,9.6,16.1,0,Хабаровск
153,1952-10-03,6.6,11.6,17.3,0,Хабаровск
154,1952-10-04,2.5,8,13.2,0,Хабаровск
155,1952-10-05,5.1,8.3,13.5,0,Хабаровск
156,1952-10-06,2.7,11.3,20.9,0,Хабаровск
157,1952-10-07,10.6,16.9,24.2,0,Хабаровск
158,1952-10-08,7.2,13.8,19.3,0,Хабаровск
159,1952-10-09,7.9,14.4,21.9,0,Хабаровск
160,1952-10-10,8.5,12.4,19.2,0,Хабаровск
161,1952-10-11,2.2,4.5,10.5,7.4,Хабаровск
162,1952-10-12,-0.8,1.3,4.2,0,Хабаровск
163,1952-10-13,-1.8,1.9,7.1,0,Хабаровск
164,1952-10-14,1,9.4,16.4,0,Хабаровск
165,1952-10-15,10,11.6,14.4,0.6,Хабаровск
166,1952-10-16,-0.1,2.3,10.5,43.1,Хабаровск
167,1952-10-17,-4.4,-0.6,2.4,1.6,Хабаровск
168,1952-10-18,-1.5,3.4,9.8,0,Хабаровск
169,1952-10-19,2.1,9.3,16.1,0,Хабаровск
170,1952-10-20,4.8,9.2,13,3,Хабаровск
171,1952-10-21,-1.8,0.6,5.4,11.1,Хабаровск
172,1952-10-22,-6.6,-3.4,1.2,0,Хабаровск
173,1952-10-23,-7.2,-3.2,1.7,0,Хабаровск
174,1952-10-24,-3.6,-2.3,-0.2,0,Хабаровск
175,1952-10-25,-6.3,-4.1,-0.8,0,Хабаровск
176,1952-10-26,-7.4,-2.6,2.9,0,Хабаровск
177,1952-10-27,0.6,4.6,9.7,0,Хабаровск
178,1952-10-28,-0.9,3,6.8,0,Хабаровск
179,1952-10-29,-3.7,-1.6,3.3,0,Хабаровск
180,1952-10-30,-5.3,-2.7,0.7,0,Хабаровск
181,1952-10-31,-7.9,-5.1,-2.1,0.6,Хабаровск
183,1952-11-01,-11.7,-7.2,-2.1,0,Хабаровск
184,1952-11-02,-6.6,-2.8,2.5,0,Хабаровск
185,1952-11-03,-7.5,-4,-0.5,0,Хабаровск
186,1952-11-04,-4.2,-2.8,-0.5,3.1,Хабаровск
187,1952-11-05,-7.5,-5,-2.2,9.8,Хабаровск
188,1952-11-06,-8.7,-7.4,-5.8,3.2,Хабаровск
189,1952-11-07,-14.5,-12.3,-7.5,0,Хабаровск
190,1952-11-08,-15.3,-13,-11.3,0.3,Хабаровск
191,1952-11-09,-19.9,-17.1,-12.8,0,Хабаровск
192,1952-11-10,-18.9,-15.6,-12.4,0,Хабаровск
193,1952-11-11,-20.9,-18.4,-14.4,0,Хабаровск
194,1952-11-12,-27.4,-20.5,-17.3,0,Хабаровск
