,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1933-02-01,-22.7,-19.7,-17.8,1.3,Ханты-Мансийск
2,1933-02-02,-26.2,-23.8,-22.3,1,Ханты-Мансийск
3,1933-02-03,-24.7,-22,-19.8,0.1,Ханты-Мансийск
4,1933-02-04,-24.3,-21.8,-19.2,0.1,Ханты-Мансийск
5,1933-02-05,-23.8,-20,-17.3,0,Ханты-Мансийск
6,1933-02-06,-22,-19.1,-16,0,Ханты-Мансийск
7,1933-02-07,-23.4,-20.2,-17.5,0,Ханты-Мансийск
8,1933-02-08,-25,-20.3,-18.5,0,Ханты-Мансийск
9,1933-02-09,-21.4,-18.5,-17.3,0,Ханты-Мансийск
10,1933-02-10,-25,-22,-19.5,0,Ханты-Мансийск
11,1933-02-11,-23.2,-21,-19.1,3.1,Ханты-Мансийск
12,1933-02-12,-25.3,-22.2,-20,0.2,Ханты-Мансийск
13,1933-02-13,-28.4,-26.5,-24.1,0,Ханты-Мансийск
14,1933-02-14,-27.5,-20.4,-16.3,0,Ханты-Мансийск
15,1933-02-15,-24.2,-21.5,-16.6,1,Ханты-Мансийск
16,1933-02-16,-27.7,-23.3,-21.4,0,Ханты-Мансийск
17,1933-02-17,-22.3,-18,-14.6,0,Ханты-Мансийск
18,1933-02-18,-16.6,-15.3,-13.9,0.4,Ханты-Мансийск
19,1933-02-19,-24.2,-22.3,-16.4,0.8,Ханты-Мансийск
20,1933-02-20,-28.4,-25.9,-23.5,0,Ханты-Мансийск
22,1933-05-01,5.5,10.1,15.5,3.3,Ханты-Мансийск
23,1933-05-02,6,12.8,17.9,3.5,Ханты-Мансийск
24,1933-05-03,3.2,9,17.9,0,Ханты-Мансийск
25,1933-05-04,-2,0,4.2,3.4,Ханты-Мансийск
26,1933-05-05,-7.3,-6.5,-2,2.1,Ханты-Мансийск
27,1933-05-06,-9.6,-7.9,-6.6,3.4,Ханты-Мансийск
28,1933-05-07,-12,-7.4,-4.5,0,Ханты-Мансийск
29,1933-05-08,-10,-4.1,-2.3,0,Ханты-Мансийск
30,1933-05-09,-8.3,-2.6,0.8,0,Ханты-Мансийск
31,1933-05-10,-2.5,1.9,4.6,0,Ханты-Мансийск
32,1933-05-11,-1.8,3.5,6.5,0,Ханты-Мансийск
33,1933-05-12,0,0.9,3.7,4.7,Ханты-Мансийск
34,1933-05-13,-1.9,2.3,7.6,0,Ханты-Мансийск
35,1933-05-14,-1.2,2.3,6.5,0,Ханты-Мансийск
