,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-02-01,-17.4,-14.2,-10.5,0,Харьков
2,1936-02-02,-10.5,-7,-4.1,0.4,Харьков
3,1936-02-03,-4.2,-0.1,2.2,0.5,Харьков
4,1936-02-04,0.8,2.1,4,2.5,Харьков
5,1936-02-05,-0.6,-0.2,0.8,0,Харьков
6,1936-02-06,-0.4,-0.2,0.8,2.9,Харьков
7,1936-02-07,-1.7,-1.2,0.4,3.4,Харьков
8,1936-02-08,-5.2,-3.9,-0.8,0,Харьков
9,1936-02-09,-5.9,-3.5,-0.5,0,Харьков
10,1936-02-10,-12.5,-5.4,-0.7,1.6,Харьков
11,1936-02-11,-19.9,-17.4,-12.5,0,Харьков
12,1936-02-12,-17.9,-16.1,-14.3,0,Харьков
13,1936-02-13,-15.7,-13.3,-8.6,0.1,Харьков
14,1936-02-14,-12.4,-7.9,-5.8,0.4,Харьков
15,1936-02-15,-15.5,-12.6,-7.8,0.1,Харьков
16,1936-02-16,-15.3,-14,-11.6,0.1,Харьков
17,1936-02-17,-19.5,-15.8,-10.5,0,Харьков
18,1936-02-18,-18.3,-13.8,-7.4,0,Харьков
19,1936-02-19,-14.8,-12.9,-8.8,0,Харьков
20,1936-02-20,-15.5,-13,-9.1,0.2,Харьков
21,1936-02-21,-17.1,-13.6,-7.9,0,Харьков
22,1936-02-22,-10.4,-7.8,-6,0.4,Харьков
23,1936-02-23,-9,-8.2,-6,0,Харьков
24,1936-02-24,-9.7,-8.9,-7,0,Харьков
25,1936-02-25,-13.4,-9.5,-4.3,0,Харьков
26,1936-02-26,-12.3,-8.7,-5.5,0.1,Харьков
27,1936-02-27,-9,-5.7,-3.6,0.1,Харьков
28,1936-02-28,-3.7,-1.1,0.5,0.1,Харьков
29,1936-02-29,-0.7,0.3,2.2,0.2,Харьков
31,1936-03-01,0.1,1.4,3.2,1.3,Харьков
32,1936-03-02,-0.2,0.1,1.4,0.6,Харьков
33,1936-03-03,0.1,0.8,2,0,Харьков
34,1936-03-04,0.6,2.7,5.2,0,Харьков
35,1936-03-05,-0.6,1.2,4.4,0,Харьков
36,1936-03-06,-0.6,0.9,5.1,0,Харьков
37,1936-03-07,-2,-0.5,2,0,Харьков
38,1936-03-08,-4.7,-1.9,1.9,0,Харьков
39,1936-03-09,-3.8,-1.6,2.6,0,Харьков
40,1936-03-10,-2.8,-0.5,3.4,0,Харьков
41,1936-03-11,-1,0.1,2,0,Харьков
42,1936-03-12,0.2,1.4,4.2,0,Харьков
43,1936-03-13,0.5,3.2,8.8,0,Харьков
44,1936-03-14,0.4,2.6,7.4,0,Харьков
45,1936-03-15,1.1,2.7,6.1,0,Харьков
46,1936-03-16,-0.3,0,2.7,6.6,Харьков
47,1936-03-17,-0.4,1.1,5,0.4,Харьков
48,1936-03-18,0,1.8,5.2,0.3,Харьков
49,1936-03-19,-1.2,1.8,5.6,0,Харьков
50,1936-03-20,0.6,2.9,6.2,0.1,Харьков
51,1936-03-21,-3.2,-0.1,3.6,0,Харьков
52,1936-03-22,-1.4,1.1,7.2,0,Харьков
53,1936-03-23,0.7,4.1,10.7,0,Харьков
54,1936-03-24,2.3,5.8,12.7,0,Харьков
55,1936-03-25,-3.5,-2,5.8,0,Харьков
56,1936-03-26,-6,-3.2,1.7,0,Харьков
57,1936-03-27,-2.9,-1.3,1.2,0,Харьков
58,1936-03-28,-2.4,-1.4,1,0.9,Харьков
59,1936-03-29,-5.5,-3.4,-0.2,0,Харьков
60,1936-03-30,-5.2,-1.8,2.6,0,Харьков
61,1936-03-31,-4.5,-1.6,5,0,Харьков
63,1936-04-01,-2.7,0.5,7,0,Харьков
64,1936-04-02,-2.2,2.6,10.6,0,Харьков
65,1936-04-03,0.4,4.7,11.7,0,Харьков
66,1936-04-04,5.5,6,8.5,4.3,Харьков
67,1936-04-05,-0.6,1.9,5.7,0.2,Харьков
68,1936-04-06,-1.6,-0.4,2.8,0,Харьков
69,1936-04-07,-3.2,0.2,6.7,0,Харьков
70,1936-04-08,-0.8,1.7,5.6,3.6,Харьков
71,1936-04-09,-2.6,-0.8,3,4.7,Харьков
72,1936-04-10,1.2,3.8,7.9,0,Харьков
73,1936-04-11,-1.1,3,8.4,0,Харьков
74,1936-04-12,2.6,5.4,11,0,Харьков
75,1936-04-13,1,3.1,6.4,5.8,Харьков
76,1936-04-14,1,4,7.8,12.1,Харьков
77,1936-04-15,2.8,5.8,11.3,0.4,Харьков
78,1936-04-16,2.4,7.2,16,0.1,Харьков
79,1936-04-17,3.4,5.3,10.4,0,Харьков
80,1936-04-18,2.7,9.3,17.2,0,Харьков
81,1936-04-19,7.4,10.4,15.5,0,Харьков
82,1936-04-20,6.8,8.4,12,7.6,Харьков
83,1936-04-21,4.3,7,11.5,2.8,Харьков
84,1936-04-22,4.8,9.5,16.3,0,Харьков
85,1936-04-23,6.4,8.6,12,3.5,Харьков
86,1936-04-24,7.8,10.6,14.8,0,Харьков
87,1936-04-25,8.2,11.3,16.8,0,Харьков
88,1936-04-26,10.1,13.6,19.8,0,Харьков
89,1936-04-27,11.4,14.4,18.8,0,Харьков
