,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1910-10-06,10.7,17.6,26.5,0,Хорог
3,1914-01-01,-8,-4.3,0.2,0,Хорог
4,1914-01-02,-7.9,-3.4,2.4,0,Хорог
5,1914-01-03,-10.6,-5,1.8,0,Хорог
6,1914-01-04,-10.5,-5.7,0.3,0,Хорог
7,1914-01-05,-11.9,-7.3,-0.7,0,Хорог
8,1914-01-06,-12.5,-6.6,-2.8,0,Хорог
9,1914-01-07,-11.7,-4.3,0.2,0,Хорог
10,1914-01-08,-9,-3.4,1.7,0,Хорог
11,1914-01-09,-9.5,-5.2,-2.8,0,Хорог
12,1914-01-10,-6.4,-4.9,2.2,11.8,Хорог
13,1914-01-11,-13.5,-7.1,-1.8,0,Хорог
14,1914-01-12,-12.5,-3.5,2.7,18.8,Хорог
15,1914-01-13,-10.8,-6,1.2,0,Хорог
16,1914-01-14,-12.5,-7.6,0.2,0,Хорог
17,1914-01-15,-12.8,-6.4,-2.3,0,Хорог
18,1914-01-16,-9.5,-5.7,-2.3,0,Хорог
19,1914-01-17,-12.8,-7.7,-1.3,0,Хорог
20,1914-01-18,-10.7,-5.3,-0.8,0,Хорог
21,1914-01-19,-12.8,-8.3,-0.8,0,Хорог
22,1914-01-20,-14.5,-8.4,-3.3,0,Хорог
23,1914-01-21,-12.7,-6,1.9,0.3,Хорог
24,1914-01-22,-11.3,-6.1,-0.5,0,Хорог
25,1914-01-23,-9,-4.4,1.7,2.2,Хорог
26,1914-01-24,-10.6,-4.5,1.7,0,Хорог
27,1914-01-25,-7.1,-0.3,3.7,0,Хорог
28,1914-01-26,-3.1,-1.1,2.5,0,Хорог
29,1914-01-27,-2.6,-0.7,2.5,8.1,Хорог
30,1914-01-28,-5.1,-3.2,4.2,0,Хорог
31,1914-01-29,-10.6,-9,-0.3,0,Хорог
32,1914-01-30,-15.9,-8.2,-0.8,0,Хорог
33,1914-01-31,-13.3,-6.4,0,0,Хорог
35,1914-02-01,-9.4,-3.6,2.9,0,Хорог
36,1914-02-02,-11.1,-5.7,1.2,0,Хорог
37,1914-02-03,-9.2,-6.4,1.9,0.5,Хорог
38,1914-02-04,-11.4,-6.4,0.4,0,Хорог
39,1914-02-05,-14.9,-9.2,1.1,0,Хорог
40,1914-02-06,-14.6,-6.6,-3.1,0,Хорог
41,1914-02-07,-10.3,-6.7,0.9,0,Хорог
42,1914-02-08,-14.3,-9.9,-1.6,0,Хорог
43,1914-02-09,-15.4,-10.7,-3.3,0,Хорог
44,1914-02-10,-16.4,-10.9,-3.6,0,Хорог
45,1914-02-11,-16.4,-10.2,-3.4,0,Хорог
46,1914-02-12,-16.1,-8.6,-3.1,0,Хорог
47,1914-02-13,-13,-6.5,-1.1,0,Хорог
48,1914-02-14,-9.9,-4.5,-0.6,0,Хорог
49,1914-02-15,-8.7,-5.5,2.6,0,Хорог
50,1914-02-16,-12.6,-8,-3.1,0,Хорог
51,1914-02-17,-11.2,-6.7,-0.1,0,Хорог
52,1914-02-18,-13.7,-8.5,-1.1,0,Хорог
53,1914-02-19,-13.5,-8.3,-0.1,0,Хорог
54,1914-02-20,-12.6,-4.5,-1.1,0,Хорог
55,1914-02-21,-9.2,-4.1,-0.8,3.5,Хорог
56,1914-02-22,-9.1,-4.8,5.2,0,Хорог
57,1914-02-24,-5.3,-0.9,4.6,0,Хорог
58,1914-02-25,-8.3,-5.1,0.6,0,Хорог
59,1914-02-27,-6.1,-0.7,5.1,1.5,Хорог
61,1914-03-01,-4.8,-2.1,0.7,0,Хорог
62,1914-03-02,-3.7,-1.2,4.9,1,Хорог
63,1914-03-03,-7.1,-2.8,2.9,0,Хорог
64,1914-03-04,-7,-1.3,2.9,0,Хорог
65,1914-03-05,-2,0.3,5.1,0,Хорог
66,1914-03-06,-1,2.1,10.9,15.5,Хорог
67,1914-03-07,-6.8,-2.5,5.7,0,Хорог
68,1914-03-08,-9,-2.6,1.9,0,Хорог
69,1914-03-09,-6.7,-1,4.9,0.5,Хорог
70,1914-03-10,-3.7,0.1,6.5,0,Хорог
71,1914-03-11,-4.2,-0.1,5.4,0,Хорог
72,1914-03-12,-7.3,-3.7,1.9,0,Хорог
73,1914-03-13,-7.5,-4.6,1.9,0,Хорог
74,1914-03-14,-11.1,-5.5,1.4,0,Хорог
75,1914-03-15,-10,-3.5,2.4,0,Хорог
76,1914-03-16,-8.2,0.2,5.1,0,Хорог
77,1914-03-17,-1.5,2.1,7.3,0,Хорог
