,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-12.9,-9.6,-4.3,0.4,Хоседа-Хард
2,1936-01-02,-18.2,-9.2,-3.2,0.1,Хоседа-Хард
3,1936-01-03,-8.1,-5.2,-0.5,0.4,Хоседа-Хард
4,1936-01-04,-21.4,-16.2,-8,0,Хоседа-Хард
5,1936-01-05,-22.2,-9.4,-2.3,4.5,Хоседа-Хард
6,1936-01-06,-21.6,-15.6,-9.9,0,Хоседа-Хард
7,1936-01-07,-15.4,-13,-11.5,0.5,Хоседа-Хард
8,1936-01-08,-15.6,-13,-10,0.1,Хоседа-Хард
9,1936-01-09,-15.1,-11,-8.5,0,Хоседа-Хард
10,1936-01-10,-14.3,-12.9,-9.7,0.2,Хоседа-Хард
11,1936-01-11,-20.6,-15.8,-9.6,0,Хоседа-Хард
12,1936-01-12,-18.6,-11.2,-10,0,Хоседа-Хард
13,1936-01-13,-11.5,-10.2,-9,0.6,Хоседа-Хард
14,1936-01-14,-25.5,-19.5,-11.4,0.4,Хоседа-Хард
15,1936-01-15,-22.6,-17.3,-12.6,0,Хоседа-Хард
16,1936-01-16,-27.3,-25.6,-20,0,Хоседа-Хард
17,1936-01-17,-31,-26.7,-23.6,0,Хоседа-Хард
18,1936-01-18,-29.8,-26.8,-23.6,0,Хоседа-Хард
19,1936-01-19,-25.3,-20.2,-16.2,0.5,Хоседа-Хард
20,1936-01-20,-26.8,-18.4,-15.6,0,Хоседа-Хард
21,1936-01-21,-18.8,-15.9,-14.8,3,Хоседа-Хард
22,1936-01-22,-31.8,-24,-15,0.6,Хоседа-Хард
23,1936-01-23,-38.4,-31.6,-26.8,0,Хоседа-Хард
24,1936-01-24,-40.5,-34,-25.2,0,Хоседа-Хард
25,1936-01-25,-46,-42.4,-40,0,Хоседа-Хард
26,1936-01-26,-41.6,-32.8,-27.6,0,Хоседа-Хард
27,1936-01-27,-34.5,-30.6,-22.7,0,Хоседа-Хард
28,1936-01-28,-40.4,-37.7,-34.1,0,Хоседа-Хард
29,1936-01-29,-44,-42.2,-40.2,0,Хоседа-Хард
30,1936-01-30,-46.2,-39.8,-31.2,0,Хоседа-Хард
31,1936-01-31,-46.2,-41.1,-37.3,0,Хоседа-Хард
33,1936-02-01,-37.6,-31.8,-24.4,0.8,Хоседа-Хард
34,1936-02-02,-26.5,-22.2,-18.6,0.8,Хоседа-Хард
35,1936-02-03,-21.4,-17.8,-16.3,0.6,Хоседа-Хард
36,1936-02-04,-24.1,-17.4,-14.3,0,Хоседа-Хард
37,1936-02-05,-27.7,-22.2,-17.1,0,Хоседа-Хард
38,1936-02-06,-31.7,-28.5,-25.7,0,Хоседа-Хард
39,1936-02-07,-34.9,-31.8,-26.2,0,Хоседа-Хард
40,1936-02-08,-36.1,-34,-31.4,1,Хоседа-Хард
41,1936-02-09,-31.9,-28.6,-24.5,0.1,Хоседа-Хард
42,1936-02-10,-31.4,-29.6,-27.5,0.2,Хоседа-Хард
43,1936-02-11,-38,-32.2,-26.7,0,Хоседа-Хард
44,1936-02-12,-29.1,-26.7,-21.3,1.2,Хоседа-Хард
45,1936-02-13,-35.3,-33.2,-29,0,Хоседа-Хард
46,1936-02-14,-36.4,-31.2,-26.7,0,Хоседа-Хард
47,1936-02-15,-27.7,-15.6,-12.5,0.4,Хоседа-Хард
48,1936-02-16,-15.8,-12.4,-8.8,0,Хоседа-Хард
49,1936-02-17,-15.9,-12.4,-9.3,0,Хоседа-Хард
50,1936-02-18,-21.9,-15.6,-11.1,0,Хоседа-Хард
51,1936-02-19,-26.9,-23.2,-14.1,0,Хоседа-Хард
52,1936-02-20,-26.1,-23.6,-20.3,0,Хоседа-Хард
53,1936-02-21,-23.9,-21.8,-19.6,0,Хоседа-Хард
54,1936-02-22,-24.7,-20.1,-15.8,0,Хоседа-Хард
55,1936-02-23,-21.8,-14.8,-13.1,0,Хоседа-Хард
56,1936-02-24,-17.9,-14.8,-11.5,0.6,Хоседа-Хард
57,1936-02-25,-24.7,-20.1,-15.5,1.2,Хоседа-Хард
58,1936-02-26,-28.2,-22.4,-17.1,0.5,Хоседа-Хард
59,1936-02-27,-32.4,-28.2,-24.1,0,Хоседа-Хард
60,1936-02-28,-38.6,-35.1,-27.6,0,Хоседа-Хард
