,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-7.2,-2.2,3.6,0,Целина
2,1936-01-02,-4.4,-0.6,4,0,Целина
3,1936-01-03,-3.6,-0.6,3.2,0,Целина
4,1936-01-04,-4,1.2,5.4,0,Целина
5,1936-01-05,-2,0.5,4.5,0,Целина
6,1936-01-06,-3.7,0.5,4,0,Целина
7,1936-01-07,-4.5,-0.6,3,0,Целина
8,1936-01-08,-2,-1,1,0,Целина
9,1936-01-09,-5.5,-1,3.9,0,Целина
10,1936-01-10,-3.4,-0.9,2.4,0.1,Целина
11,1936-01-11,0.1,1.3,2.6,1.6,Целина
12,1936-01-12,2.4,4.4,6.8,15.4,Целина
13,1936-01-13,0.2,1.1,5.4,3.5,Целина
14,1936-01-14,-1,0.1,1,0.1,Целина
15,1936-01-15,-7.1,-3,-0.8,4,Целина
16,1936-01-16,-10,-3.5,-0.2,0,Целина
17,1936-01-17,-9.5,-5.9,0,0.1,Целина
18,1936-01-18,-10.3,-5.4,-1.9,0,Целина
19,1936-01-19,-2.5,-1.5,-0.5,0,Целина
20,1936-01-20,-3.3,-0.1,2.5,0,Целина
21,1936-01-21,-0.6,0.7,3,0,Целина
22,1936-01-22,-0.7,1.4,5.4,0,Целина
23,1936-01-23,0,2,6.5,0.4,Целина
24,1936-01-24,-1.7,1,3.6,0.6,Целина
25,1936-01-25,-1,0.6,3.7,0.2,Целина
26,1936-01-26,-0.5,2.6,5.3,5.8,Целина
27,1936-01-27,-2.2,-0.2,4,2,Целина
28,1936-01-28,0,4,6.8,7.7,Целина
29,1936-01-29,3,7.2,14.4,0.5,Целина
30,1936-01-30,0.7,6.3,10.2,1.2,Целина
31,1936-01-31,-11,-8.2,0.8,0,Целина
33,1936-02-01,-17,-11.8,-5.3,0,Целина
34,1936-02-02,-14.5,-5.4,0,0,Целина
35,1936-02-03,-2.7,0.8,6.5,0.2,Целина
36,1936-02-04,-0.6,0.8,4,0,Целина
37,1936-02-05,-2.7,0,2.7,0,Целина
38,1936-02-06,-0.9,1.3,5,0,Целина
39,1936-02-07,-6,-1.2,1,0,Целина
40,1936-02-08,-4.4,-2.9,-0.9,0.3,Целина
41,1936-02-09,-9,-4.1,-1,2.2,Целина
42,1936-02-10,-4.3,0.9,6.7,0.3,Целина
