,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-09-02,5.5,7.2,10,0,Целиноград
2,1900-09-03,0.7,8.3,15,0,Целиноград
3,1900-09-04,3.7,9.7,14.4,0,Целиноград
4,1900-09-05,2,11.3,19.8,0,Целиноград
5,1900-09-06,7.6,15.2,23.8,0,Целиноград
6,1900-09-07,7.4,14.3,22.7,0,Целиноград
7,1900-09-08,2.4,12,19.8,0,Целиноград
8,1900-09-09,2.4,17.7,27,0,Целиноград
9,1900-09-10,10.8,18.7,26.2,0,Целиноград
10,1900-09-11,3,11.7,17.8,0,Целиноград
11,1900-09-12,1.3,11.3,19,0,Целиноград
12,1900-09-13,4.6,15.4,23.1,0.7,Целиноград
13,1900-09-14,10.5,14.7,20.2,0,Целиноград
14,1900-09-15,12.3,18.7,28.5,0,Целиноград
15,1900-09-16,10.3,19.9,32.3,0,Целиноград
16,1900-09-17,9.4,22.1,34,0,Целиноград
17,1900-09-18,7.2,11,23.2,0.2,Целиноград
18,1900-09-19,2.8,7.2,12.5,0,Целиноград
19,1900-09-20,0.7,5.6,10,0,Целиноград
20,1900-09-21,3.9,6,11.5,3.5,Целиноград
21,1900-09-22,2.8,4.8,8.8,2.1,Целиноград
22,1900-09-23,2,6.5,13,0,Целиноград
23,1900-09-24,1.6,8.3,16.5,0,Целиноград
24,1900-09-25,0.3,8.8,16.1,0,Целиноград
25,1900-09-26,-0.9,7,15,0,Целиноград
26,1900-09-27,4.6,9.9,15,0,Целиноград
27,1900-09-28,1.2,10.8,18.5,0,Целиноград
28,1900-09-29,6.9,11.2,18.5,0,Целиноград
29,1900-09-30,2.8,12.3,22,0,Целиноград
31,1916-01-01,-13.8,-8.1,-3.7,2.7,Целиноград
32,1916-01-02,-24.5,-20.3,-12.8,1.4,Целиноград
33,1916-01-03,-27,-25.4,-23.2,0,Целиноград
34,1916-01-04,-26.1,-25.3,-23,0,Целиноград
35,1916-01-05,-33.3,-28.8,-25.2,0,Целиноград
36,1916-01-06,-34.1,-31.1,-27.2,0,Целиноград
37,1916-01-07,-32.5,-22.7,-18.7,0,Целиноград
38,1916-01-08,-19,-16,-13.2,0,Целиноград
39,1916-01-09,-21,-18.1,-16,0,Целиноград
40,1916-01-10,-22,-19.3,-15.5,0,Целиноград
41,1916-01-11,-21.9,-10.3,-7.8,5.1,Целиноград
42,1916-01-12,-8.2,-6.3,-4.4,0.4,Целиноград
43,1916-01-13,-14.2,-10.3,-7.4,0,Целиноград
44,1916-01-14,-11.3,-4.1,-2.3,1.6,Целиноград
45,1916-01-15,-15,-7.6,-3.4,0.2,Целиноград
46,1916-01-16,-17.6,-14.5,-10.5,0,Целиноград
47,1916-01-17,-19,-17,-13.9,0,Целиноград
48,1916-01-18,-21.4,-14.1,-11.6,0,Целиноград
49,1916-01-19,-16.2,-4.9,-3.4,0,Целиноград
50,1916-01-20,-17.8,-8.7,-1.2,0,Целиноград
51,1916-01-21,-23.7,-18.6,-16.2,0,Целиноград
52,1916-01-22,-23.7,-20.8,-17.2,0,Целиноград
53,1916-01-23,-25.7,-19.8,-16.6,0.8,Целиноград
54,1916-01-24,-20.3,-12.8,-9.4,0.4,Целиноград
55,1916-01-25,-12.3,-9.4,-6.6,0,Целиноград
56,1916-01-26,-13,-10.4,-6.7,0.2,Целиноград
57,1916-01-27,-13.8,-8.6,-6.5,0.2,Целиноград
58,1916-01-28,-12.7,-8.2,-5.1,0,Целиноград
59,1916-01-29,-10.6,-8.6,-5,0.8,Целиноград
60,1916-01-30,-9.5,-7.3,-5,0,Целиноград
61,1916-01-31,-8.7,-6.4,-4.8,1.1,Целиноград
63,1916-02-01,-10.9,-6.7,-5.1,3.4,Целиноград
64,1916-02-02,-15.9,-12,-8.2,0.8,Целиноград
65,1916-02-03,-17.2,-12.8,-9.2,2.4,Целиноград
66,1916-02-04,-12.3,-10.3,-7.5,0,Целиноград
67,1916-02-05,-10.6,-7.4,-5.7,3.6,Целиноград
68,1916-02-06,-10.3,-9,-7.4,2.6,Целиноград
69,1916-02-07,-28.8,-24.8,-9,0,Целиноград
