,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1952-03-01,-10.5,-7.2,-1.8,6.2,Цимлянское
2,1952-03-02,-14.1,-5.8,-0.1,0.1,Цимлянское
3,1952-03-03,-11.3,-7,-3,0,Цимлянское
4,1952-03-04,-8.2,-7,-5.3,0.3,Цимлянское
5,1952-03-05,-16.4,-12.6,-8,0.3,Цимлянское
6,1952-03-06,-16.4,-13.6,-9.5,0,Цимлянское
7,1952-03-07,-17.9,-14.4,-11.7,0,Цимлянское
8,1952-03-08,-16.9,-12.7,-6.7,0,Цимлянское
9,1952-03-09,-15.1,-10.2,-6.2,0,Цимлянское
10,1952-03-10,-10.1,-7.4,-5.2,0,Цимлянское
11,1952-03-11,-11.3,-9.5,-6.6,0,Цимлянское
12,1952-03-12,-15.3,-12,-7.4,0,Цимлянское
13,1952-03-13,-12.7,-7.4,-2,0,Цимлянское
14,1952-03-14,-6.2,-2.3,1.3,0,Цимлянское
15,1952-03-15,-2.5,0.3,2.2,0,Цимлянское
16,1952-03-16,-5.2,-2.7,1.1,0.3,Цимлянское
17,1952-03-17,-8.2,-6.4,-4.7,1.3,Цимлянское
18,1952-03-18,-5.8,-4.2,-0.2,6.4,Цимлянское
19,1952-03-19,-10.6,-7.1,-4.7,0.1,Цимлянское
20,1952-03-20,-8.4,-5.9,-3.6,1.3,Цимлянское
21,1952-03-21,-12.5,-7.8,-4.3,0,Цимлянское
22,1952-03-22,-9.2,-7.2,-4.5,0,Цимлянское
23,1952-03-23,-10.8,-4.9,0.2,0.4,Цимлянское
24,1952-03-24,-2.6,0.4,2.6,2.5,Цимлянское
25,1952-03-25,-10.3,-5.7,-0.9,0.2,Цимлянское
26,1952-03-26,-2.5,1.3,2.8,6.1,Цимлянское
27,1952-03-27,-3.4,-0.3,1.8,0.7,Цимлянское
28,1952-03-28,0.8,4.1,8.1,18.1,Цимлянское
29,1952-03-29,-1.4,-0.8,1.1,1.6,Цимлянское
30,1952-03-30,-0.8,-0.3,0.2,8.8,Цимлянское
31,1952-03-31,-3,-1.5,0.3,4,Цимлянское
33,1952-04-01,-6,-4.1,-0.2,1.1,Цимлянское
34,1952-04-02,-4.9,-0.8,4.1,0,Цимлянское
35,1952-04-03,1.4,4.4,8.7,0.4,Цимлянское
36,1952-04-04,-0.7,0.6,2.9,2,Цимлянское
37,1952-04-05,-1.9,1,5.1,0,Цимлянское
38,1952-04-06,-0.6,0.9,4.1,0,Цимлянское
39,1952-04-07,-1.9,0.4,2.6,0,Цимлянское
40,1952-04-08,-0.7,1,4.2,0.1,Цимлянское
41,1952-04-09,-2.4,0.5,3.3,0.3,Цимлянское
42,1952-04-10,-0.2,0.2,1.1,7.2,Цимлянское
43,1952-04-11,-1.7,0.7,4.4,0.4,Цимлянское
44,1952-04-12,-0.9,2.8,8.2,0,Цимлянское
45,1952-04-13,-0.6,4.4,10,0,Цимлянское
46,1952-04-14,1.7,8.4,15.4,0,Цимлянское
47,1952-04-15,3.6,9.9,15.4,0,Цимлянское
48,1952-04-16,4.7,10.7,17.9,0,Цимлянское
49,1952-04-17,7.2,12.8,19.8,0,Цимлянское
50,1952-04-18,5.1,8.1,15.7,0.6,Цимлянское
51,1952-04-19,3.1,7.9,9.3,0,Цимлянское
52,1952-04-20,1.3,9.1,17,0,Цимлянское
53,1952-04-21,6.2,10.6,17.1,0,Цимлянское
54,1952-04-22,3,7.3,11.4,0,Цимлянское
55,1952-04-23,5.4,9.3,14.4,0,Цимлянское
56,1952-04-24,7.3,10.6,14.9,0,Цимлянское
57,1952-04-25,7.4,12.8,20.6,0,Цимлянское
58,1952-04-26,10.8,14.3,22,0,Цимлянское
59,1952-04-27,8.5,13.6,21.9,0,Цимлянское
60,1952-04-28,12.3,15.3,19.2,0,Цимлянское
61,1952-04-29,8.9,12.9,19.1,0,Цимлянское
62,1952-04-30,9.6,13.7,18.8,0,Цимлянское
64,1952-05-01,11.6,16.5,22,0,Цимлянское
65,1952-05-02,13.5,18.3,23.9,0,Цимлянское
66,1952-05-03,11.8,16.1,19.4,0,Цимлянское
67,1952-05-04,11.7,15.6,20,0,Цимлянское
68,1952-05-05,11,16,21.3,0,Цимлянское
69,1952-05-06,10.9,19.4,25,0,Цимлянское
70,1952-05-07,12.8,17.9,23.3,0,Цимлянское
71,1952-05-08,10.3,13,18.4,0,Цимлянское
72,1952-05-09,0.1,4.6,10.5,0,Цимлянское
73,1952-05-10,1.6,8.7,14.6,0,Цимлянское
74,1952-05-11,4.8,12.4,20.1,0,Цимлянское
75,1952-05-12,6.3,14.5,22.2,0,Цимлянское
76,1952-05-13,12.3,17.8,24.1,0,Цимлянское
77,1952-05-14,12.7,16.6,22,0,Цимлянское
78,1952-05-15,10.7,18.2,25.2,0,Цимлянское
79,1952-05-16,11.1,16.7,22.6,0,Цимлянское
80,1952-05-17,11.6,15.7,21,0,Цимлянское
81,1952-05-18,12.5,14,15.6,8.1,Цимлянское
82,1952-05-19,12.1,13.8,17.8,2.7,Цимлянское
83,1952-05-20,8,12.2,17.5,2.2,Цимлянское
84,1952-05-21,7,14.7,20.7,0,Цимлянское
85,1952-05-22,12.6,17.8,21.9,0,Цимлянское
86,1952-05-23,15.5,19.6,23.9,0,Цимлянское
87,1952-05-24,15.7,20.4,24.9,0,Цимлянское
88,1952-05-25,17.3,20.9,26.4,0,Цимлянское
89,1952-05-26,8.9,13.8,19.8,13.2,Цимлянское
90,1952-05-27,7.7,14.8,20.6,0.3,Цимлянское
91,1952-05-28,13,16.8,19.6,2.4,Цимлянское
92,1952-05-29,10.8,15.2,21.1,0.1,Цимлянское
93,1952-05-30,9.8,16.4,22.4,0,Цимлянское
94,1952-05-31,13.7,16,20.4,3.4,Цимлянское
96,1952-06-01,14,17.2,21.6,1,Цимлянское
97,1952-06-02,12.7,18.7,24.3,0,Цимлянское
98,1952-06-03,12.5,19.2,26.7,0,Цимлянское
99,1952-06-04,15.9,22.2,26.6,0,Цимлянское
100,1952-06-05,18,21.8,26.9,0,Цимлянское
101,1952-06-06,15.2,17.9,24.4,0,Цимлянское
102,1952-06-07,9.7,16.7,21.7,0,Цимлянское
103,1952-06-08,12.6,17.5,20.6,0,Цимлянское
104,1952-06-09,13.9,18.2,21.6,0,Цимлянское
105,1952-06-10,14.4,20.2,25.5,0,Цимлянское
106,1952-06-11,15,20.5,25.5,0,Цимлянское
107,1952-06-12,13.6,22.3,25.6,0,Цимлянское
108,1952-06-13,13.5,18,25.7,0.2,Цимлянское
109,1952-06-14,12.5,15.3,18.8,0,Цимлянское
110,1952-06-15,12.1,14.3,18.5,6.4,Цимлянское
111,1952-06-16,9.7,17,24,5.9,Цимлянское
112,1952-06-17,14.1,19.2,27,0.5,Цимлянское
113,1952-06-18,15.3,20.4,26.5,1.4,Цимлянское
114,1952-06-19,15.5,21.4,26.7,7.2,Цимлянское
115,1952-06-20,17.9,21.8,27,21.5,Цимлянское
116,1952-06-21,16.2,23.1,27.4,0,Цимлянское
117,1952-06-22,17.9,23.6,28.7,0,Цимлянское
118,1952-06-23,17.8,19.6,24.3,3.1,Цимлянское
119,1952-06-24,16.9,19.7,23.9,0.1,Цимлянское
120,1952-06-25,18.1,21.1,25.6,0.2,Цимлянское
121,1952-06-26,17.5,22,26,1.5,Цимлянское
122,1952-06-27,19.2,23.3,29,0,Цимлянское
123,1952-06-28,17.1,20.1,23.6,4.2,Цимлянское
124,1952-06-29,15.9,20.5,25.4,0,Цимлянское
125,1952-06-30,16.3,18,23,21.3,Цимлянское
127,1952-07-01,16.5,18.6,23.4,3.4,Цимлянское
128,1952-07-02,16.9,20,25.8,0.5,Цимлянское
129,1952-07-03,13.4,17.3,21.7,0,Цимлянское
130,1952-07-04,15,19.3,25,14,Цимлянское
131,1952-07-05,17.9,22.8,28.3,0,Цимлянское
132,1952-07-06,17.6,19.7,25.9,25.8,Цимлянское
133,1952-07-07,10.1,15.9,21.2,0,Цимлянское
134,1952-07-08,10.8,17.1,22.4,0,Цимлянское
135,1952-07-09,14.5,17.1,20.8,0,Цимлянское
136,1952-07-10,13.6,16.7,21.6,7,Цимлянское
137,1952-07-11,10.8,17,22.7,0.2,Цимлянское
138,1952-07-12,13.5,16.6,21.2,6.6,Цимлянское
139,1952-07-13,15.7,21,27.9,0,Цимлянское
140,1952-07-14,16.3,24,29.8,0,Цимлянское
141,1952-07-15,20,25.7,30.9,0,Цимлянское
142,1952-07-16,19.1,24.1,28,0,Цимлянское
143,1952-07-17,22.2,26.2,31,0,Цимлянское
144,1952-07-18,21.3,26,31.9,0,Цимлянское
145,1952-07-19,23.5,25.3,32.7,0,Цимлянское
146,1952-07-20,22.3,25.3,31.4,2,Цимлянское
147,1952-07-21,18.5,26.1,32.1,0.6,Цимлянское
148,1952-07-22,19,25.8,31.6,0,Цимлянское
149,1952-07-23,19.2,26.8,31.8,0,Цимлянское
150,1952-07-24,25,27.5,33,0,Цимлянское
151,1952-07-25,23.7,25.7,31.6,1,Цимлянское
152,1952-07-26,20.6,25,28.9,0.4,Цимлянское
153,1952-07-27,21.1,25.2,30.5,1.3,Цимлянское
154,1952-07-28,19.2,23.2,28.9,2.5,Цимлянское
155,1952-07-29,15.8,22,30,0.5,Цимлянское
156,1952-07-30,18,24,28.4,0,Цимлянское
157,1952-07-31,19.3,25.1,28.5,0,Цимлянское
159,1952-08-01,21.4,25.3,29.7,0,Цимлянское
160,1952-08-02,20.7,26.2,32.2,0,Цимлянское
161,1952-08-03,21.3,27.9,34.8,1.4,Цимлянское
162,1952-08-04,22.3,27.4,32.7,0,Цимлянское
163,1952-08-05,22.3,24.9,29.1,38.1,Цимлянское
164,1952-08-06,21.5,25.4,30,0,Цимлянское
165,1952-08-07,23.9,24.8,28.1,0,Цимлянское
166,1952-08-08,20.5,23.4,29,0,Цимлянское
167,1952-08-09,19.2,24.9,31.5,0,Цимлянское
168,1952-08-10,19.1,25.2,32,0,Цимлянское
169,1952-08-11,20.8,26.2,31.6,0,Цимлянское
170,1952-08-12,18,21.6,29.2,3,Цимлянское
171,1952-08-13,13.1,17.7,23.4,6,Цимлянское
172,1952-08-14,14.6,21.1,26.7,0.1,Цимлянское
173,1952-08-15,14.4,23.8,32.8,0,Цимлянское
174,1952-08-16,19.5,27.9,33.6,0,Цимлянское
175,1952-08-17,22,28.6,33.7,0,Цимлянское
176,1952-08-18,22.7,27,32.5,0,Цимлянское
177,1952-08-19,20.6,28.5,35.8,0,Цимлянское
178,1952-08-20,20.7,25.5,31.2,0,Цимлянское
179,1952-08-21,19.2,24.5,30,0,Цимлянское
180,1952-08-22,20.6,27.3,34.9,0,Цимлянское
181,1952-08-23,18.9,23.4,30.4,12.3,Цимлянское
182,1952-08-24,16.8,18.2,19.9,9.9,Цимлянское
183,1952-08-25,12.5,18.1,25.4,1.4,Цимлянское
184,1952-08-26,13.2,19.6,24.4,0,Цимлянское
185,1952-08-27,17.9,22.1,28.9,0,Цимлянское
186,1952-08-28,16.4,21,25.8,0.1,Цимлянское
187,1952-08-29,15.7,20.2,25.4,9,Цимлянское
188,1952-08-30,13.9,17.6,22.3,0,Цимлянское
189,1952-08-31,9.4,16.9,24.4,0,Цимлянское
191,1952-09-01,13.1,17.3,22.1,0,Цимлянское
192,1952-09-02,13.2,18.3,22.2,0,Цимлянское
193,1952-09-03,15.8,20.4,26,0,Цимлянское
194,1952-09-04,16.9,21.5,28.4,1.8,Цимлянское
195,1952-09-05,17.1,23.4,30.4,0,Цимлянское
196,1952-09-06,20.8,24.2,28.5,0,Цимлянское
197,1952-09-07,17.9,23.5,29.9,0,Цимлянское
198,1952-09-08,18.8,24.2,31.6,0,Цимлянское
199,1952-09-09,18,23.7,30.5,0,Цимлянское
200,1952-09-10,18,23.8,30.7,0,Цимлянское
201,1952-09-11,17.8,23.9,30,0,Цимлянское
202,1952-09-12,16.9,24.1,30.7,0,Цимлянское
203,1952-09-13,18.7,23.4,30.4,0,Цимлянское
204,1952-09-14,18.3,22,30.4,0,Цимлянское
