,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1938-06-01,0.4,11.3,19,0,Чара
2,1938-06-02,-1.9,0.8,17.7,0,Чара
3,1938-06-03,-5.5,4.4,13.9,11.5,Чара
4,1938-06-04,-2.3,11.2,22.3,0,Чара
5,1938-06-05,4.6,9,21.1,9.1,Чара
6,1938-06-06,3.6,9.9,18.7,9.5,Чара
7,1938-06-07,5.8,10.7,16.2,1,Чара
8,1938-06-08,-1.4,9.9,17.3,0.1,Чара
9,1938-06-09,1.3,13.4,24.9,0,Чара
10,1938-06-10,9.2,14.1,24.5,0,Чара
11,1938-06-11,7.5,9,14.9,4.6,Чара
12,1938-06-12,5.7,10.9,17.1,0,Чара
13,1938-06-13,8.3,10.8,15.9,0,Чара
14,1938-06-14,2.3,11,16.6,0,Чара
15,1938-06-15,3.8,14,21.1,0,Чара
16,1938-06-16,1.3,13.4,22.8,0,Чара
17,1938-06-17,9,17,23.6,0,Чара
18,1938-06-18,7.2,15.6,21.6,0,Чара
19,1938-06-19,9.2,14.7,19.9,0,Чара
20,1938-06-20,4.9,14.4,22.1,0,Чара
21,1938-06-21,9.7,15.6,22.9,3.5,Чара
22,1938-06-22,2.5,15.8,24.4,0,Чара
23,1938-06-23,10.2,16.5,23.4,2.1,Чара
24,1938-06-24,5.9,16.6,24.2,0,Чара
25,1938-06-25,5.2,17.2,27.4,0,Чара
26,1938-06-26,6.3,20.1,28.8,0,Чара
27,1938-06-27,7.7,20.8,29.8,0.4,Чара
28,1938-06-28,14.2,17.2,26.5,1.2,Чара
29,1938-06-29,10.4,18.8,26.6,0,Чара
30,1938-06-30,5.5,8,18.5,20.2,Чара
32,1938-07-01,4.4,9,12.5,0,Чара
33,1938-07-02,4.6,12.1,17.5,0,Чара
34,1938-07-03,1,9.5,18.2,3.1,Чара
35,1938-07-04,8.3,13.4,19.9,11.1,Чара
36,1938-07-05,5,11.2,14.7,3.4,Чара
37,1938-07-06,10.3,13.8,19.1,0.7,Чара
38,1938-07-07,11.1,16.1,21.8,2.6,Чара
39,1938-07-08,0.2,16,25.4,0,Чара
40,1938-07-09,3.9,17.2,26.5,0,Чара
41,1938-07-10,9.1,16.8,24.9,0.7,Чара
42,1938-07-11,13.2,18.4,22.6,2.4,Чара
43,1938-07-12,10.2,17.8,24.8,0.1,Чара
44,1938-07-13,14.7,18.4,25.2,4.7,Чара
45,1938-07-14,13.9,19.2,25.1,2.8,Чара
46,1938-07-15,9.8,18.2,25.1,0,Чара
47,1938-07-16,13,17.4,21.2,0,Чара
48,1938-07-17,9.5,10.5,17.1,0.5,Чара
49,1938-07-18,3.6,11.9,18.6,0,Чара
50,1938-07-19,7,10.9,16.2,3.9,Чара
51,1938-07-20,3.2,13.7,20.9,0,Чара
52,1938-07-21,1,16.1,26.8,0,Чара
53,1938-07-22,6.3,18.8,28.6,0,Чара
54,1938-07-23,10.1,21,29.5,0,Чара
55,1938-07-24,14.7,16.4,24.6,20.3,Чара
56,1938-07-25,13.5,16.6,21.9,3.2,Чара
57,1938-07-26,9.9,19,26.1,0,Чара
58,1938-07-27,6.9,14.4,23.5,0.9,Чара
59,1938-07-28,9.2,15.8,24.3,3.2,Чара
60,1938-07-29,5.2,15.2,21.9,0,Чара
61,1938-07-30,1.8,15.1,25.3,0,Чара
62,1938-07-31,7.3,12.5,20.9,15.1,Чара
64,1938-08-01,3.1,10.9,16.3,28.8,Чара
65,1938-08-02,10.7,15,21.6,0,Чара
66,1938-08-03,9,14,18.9,0,Чара
67,1938-08-04,1.4,10.3,18.7,10.3,Чара
68,1938-08-05,4.2,11.1,16.9,6.2,Чара
69,1938-08-06,7.2,12.6,18.5,0,Чара
70,1938-08-07,1.5,12,21,0,Чара
71,1938-08-08,1.8,13.2,22.4,0,Чара
72,1938-08-09,2.9,14.6,23.6,0,Чара
73,1938-08-10,6.7,15.3,24.1,0,Чара
74,1938-08-11,5.8,14.5,21.7,0,Чара
75,1938-08-12,2.9,15.3,24.4,0,Чара
76,1938-08-13,3,15.8,27.4,0,Чара
77,1938-08-14,3,16,28.5,0,Чара
78,1938-08-15,3.8,17.5,28.9,0,Чара
79,1938-08-16,5,17.4,27.9,0,Чара
80,1938-08-17,12.3,15,20.8,5.8,Чара
81,1938-08-18,4.6,14.4,22.2,0,Чара
82,1938-08-19,4.4,15.3,27,0,Чара
83,1938-08-20,6.7,16.6,27.2,0,Чара
84,1938-08-21,11.1,16.4,21,10.8,Чара
85,1938-08-22,11.4,14.7,21.3,0.6,Чара
86,1938-08-23,4.6,12.6,23.2,0,Чара
87,1938-08-24,2.6,13.1,24,1.1,Чара
88,1938-08-25,8.7,14,22.5,1.5,Чара
89,1938-08-26,6.5,13.3,22.2,0,Чара
90,1938-08-27,3.2,11,18.7,9.1,Чара
91,1938-08-28,6.6,9.8,15.1,4.5,Чара
92,1938-08-29,7.7,12.2,20.6,0.2,Чара
93,1938-08-30,4.7,11.8,19.4,0,Чара
94,1938-08-31,6.1,11.3,17,6.8,Чара
96,1938-09-01,10.4,12.7,17.7,7.5,Чара
97,1938-09-02,9.3,12.2,16.9,2.1,Чара
98,1938-09-03,7.3,10.8,16.5,1.3,Чара
99,1938-09-04,5.3,7.1,9.8,6.3,Чара
