,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1913-01-01,1.8,4.9,6.6,0,Чарджоу
2,1913-01-02,3,3.3,6,0,Чарджоу
3,1913-01-03,-2.3,1.3,4.6,0,Чарджоу
4,1913-01-04,-4.6,0.7,3.2,5,Чарджоу
5,1913-01-05,1.6,2.4,3.3,2.4,Чарджоу
6,1913-01-06,1.5,3,4.3,2.2,Чарджоу
7,1913-01-07,0.2,0.9,3,0.6,Чарджоу
8,1913-01-09,-2.6,2.6,5.6,0,Чарджоу
9,1913-01-10,3.5,8.8,14.1,0.5,Чарджоу
10,1913-01-11,3.8,4.5,5.5,0.6,Чарджоу
11,1913-01-12,1.1,1.7,4.2,0,Чарджоу
12,1913-01-13,-0.5,3.1,6.5,0,Чарджоу
13,1913-01-14,0.2,4.4,9.5,0,Чарджоу
14,1913-01-15,2.3,8.9,12.8,0.2,Чарджоу
15,1913-01-16,0,1.5,9.2,1.4,Чарджоу
16,1913-01-17,-2.2,1.7,5.8,0,Чарджоу
17,1913-01-18,-7.6,-3.1,1.1,0,Чарджоу
18,1913-01-19,-3.4,-1.9,-0.2,1,Чарджоу
19,1913-01-20,-7,-3.9,-1,0,Чарджоу
20,1913-01-21,-5.5,1.5,6.4,0,Чарджоу
21,1913-01-22,0.3,2.8,6.7,0,Чарджоу
22,1913-01-23,-0.6,2.6,6,0,Чарджоу
23,1913-01-24,-1.2,4.4,9.6,0,Чарджоу
24,1913-01-25,1.5,6.7,12.3,0,Чарджоу
25,1913-01-27,3.2,5.4,10.8,0,Чарджоу
26,1913-01-28,1.2,3.6,6.5,0,Чарджоу
27,1913-01-29,1,8.2,14.2,0,Чарджоу
28,1913-01-30,1.5,4.4,8.8,0.3,Чарджоу
29,1913-01-31,0.4,2.4,4.4,0,Чарджоу
31,1913-02-01,1.5,3.2,4.1,0.1,Чарджоу
32,1913-02-02,-4,-2.5,2.4,0.6,Чарджоу
33,1913-02-03,-7.2,-6,-4,14.9,Чарджоу
34,1913-02-04,-7.9,-6.3,-4.6,6.3,Чарджоу
35,1913-02-05,-7.7,-5.5,-2.6,0,Чарджоу
36,1913-02-06,-7,-3.5,0.8,0,Чарджоу
37,1913-02-07,-5.3,-2.3,1.5,0,Чарджоу
38,1913-02-08,-9.6,-1.2,3.5,0,Чарджоу
39,1913-02-09,-3.4,-0.7,2.4,0,Чарджоу
40,1913-02-10,-7.6,-2.4,1.2,0,Чарджоу
41,1913-02-11,-2.5,-0.1,2.4,0,Чарджоу
42,1913-02-12,-5.5,0.7,7.5,0,Чарджоу
43,1913-02-13,-3,-0.7,0.7,0,Чарджоу
44,1913-02-14,-1,0.6,1.7,0,Чарджоу
45,1913-02-15,-1,3.4,6,0,Чарджоу
46,1913-02-16,2.4,8.3,14.2,0,Чарджоу
47,1913-02-17,4.6,6.5,10,0.1,Чарджоу
48,1913-02-18,2,5.2,7.2,0,Чарджоу
49,1913-02-19,3,4.5,7.2,13.4,Чарджоу
50,1913-02-20,0.4,2.3,3.5,0,Чарджоу
51,1913-02-21,2.6,4.6,5.7,0,Чарджоу
52,1913-02-22,-3.4,3,8.4,0.9,Чарджоу
53,1913-02-23,-6.7,-4.8,-3.2,0,Чарджоу
54,1913-02-24,-5.1,-3,-1.1,0,Чарджоу
55,1913-02-25,-4,0.4,4.5,0,Чарджоу
56,1913-02-26,0.1,2.3,4,0.1,Чарджоу
57,1913-02-27,-1,-0.5,2.4,0,Чарджоу
58,1913-02-28,-2.2,1.4,6.3,0,Чарджоу
60,1913-03-01,-3.7,3,8.5,0.6,Чарджоу
61,1913-03-02,0.3,5.4,8.6,0,Чарджоу
62,1913-03-03,-0.6,6,11.5,0,Чарджоу
63,1913-03-04,2.4,10.3,15.7,0,Чарджоу
64,1913-03-05,0,2.4,12.3,5.8,Чарджоу
65,1913-03-06,-2.7,-1.3,0,7.4,Чарджоу
66,1913-03-07,-5.1,-2.7,-0.6,0.3,Чарджоу
67,1913-03-08,-2.5,2.9,6.3,0,Чарджоу
68,1913-03-09,2,7,10.8,0,Чарджоу
69,1913-03-10,1,7.5,12.6,0,Чарджоу
70,1913-03-11,2.5,10,17.5,0,Чарджоу
71,1913-03-12,0,5.9,12.2,0,Чарджоу
72,1913-03-13,0,5.5,11.9,0,Чарджоу
73,1913-03-14,-1.4,7.7,15.4,0,Чарджоу
74,1913-03-15,2.5,11.5,19.4,0,Чарджоу
75,1913-03-16,5.6,8,12.1,2.6,Чарджоу
76,1913-03-17,0.2,1.3,5.6,0.3,Чарджоу
77,1913-03-18,-0.6,2.9,6.3,0.1,Чарджоу
78,1913-03-19,-1.3,4.6,9.1,0,Чарджоу
79,1913-03-20,0.2,6.6,12.2,0,Чарджоу
80,1913-03-21,0.3,7.7,14.2,0,Чарджоу
81,1913-03-22,0.6,9.3,16,0,Чарджоу
82,1913-03-23,1.6,10.1,17.5,0,Чарджоу
83,1913-03-24,3.1,11.9,19,0,Чарджоу
84,1913-03-25,4.5,10.3,16.5,0.5,Чарджоу
85,1913-03-26,3.8,5.8,8.8,4.7,Чарджоу
86,1913-03-27,2.4,8.2,11.7,0,Чарджоу
87,1913-03-28,4,12.1,18.2,0,Чарджоу
88,1913-03-29,6.2,16.3,24.5,0,Чарджоу
89,1913-03-30,5,10.2,16.2,0,Чарджоу
90,1913-03-31,1.8,6.1,9.8,0,Чарджоу
92,1913-04-01,2.8,5.7,8.8,0,Чарджоу
93,1913-04-02,0.3,7.7,13.6,0,Чарджоу
94,1913-04-03,4.4,11.3,17.9,0.3,Чарджоу
95,1913-04-04,6.1,10.8,15,0,Чарджоу
96,1913-04-05,8.7,14.3,19.8,0.5,Чарджоу
97,1913-04-06,10.7,15.2,22,0,Чарджоу
98,1913-04-08,7.9,8.5,12.4,5.2,Чарджоу
99,1913-04-09,6.3,12.3,16.6,0,Чарджоу
100,1913-04-10,9,12.9,15.1,4.7,Чарджоу
101,1913-04-11,8.9,17,23.8,0,Чарджоу
102,1913-04-12,14.2,18.5,23.8,0,Чарджоу
103,1913-04-13,12.1,20.9,27.7,0,Чарджоу
104,1913-04-14,12.6,20.6,27.8,0,Чарджоу
105,1913-04-15,13.9,19.9,26.1,0,Чарджоу
106,1913-04-16,12.4,16.6,22.1,3.1,Чарджоу
107,1913-04-17,11.1,16.3,20.8,0,Чарджоу
108,1913-04-18,11.4,15.9,20,1.7,Чарджоу
109,1913-04-19,9.4,17.3,22.2,0,Чарджоу
110,1913-04-20,13,15.3,18.6,0.2,Чарджоу
111,1913-04-21,5.4,8.3,11.4,0,Чарджоу
112,1913-04-22,3.1,9.7,15.1,0,Чарджоу
113,1913-04-23,3.9,7.9,17.8,0,Чарджоу
114,1913-04-24,4.6,12.8,19.1,0,Чарджоу
115,1913-04-25,6.4,13.5,19.7,0,Чарджоу
116,1913-04-26,4.3,12.7,18.8,0,Чарджоу
117,1913-04-27,5.8,13.6,20.7,0,Чарджоу
118,1913-04-28,7,16,22.8,0,Чарджоу
119,1913-04-29,8,16,22,0,Чарджоу
120,1913-04-30,8.2,14.6,21.4,6.7,Чарджоу
122,1913-05-01,6.9,14.2,21,0,Чарджоу
123,1913-05-02,11,14.1,27.1,0,Чарджоу
124,1913-05-03,16.9,24.9,32.2,1,Чарджоу
125,1913-05-04,17.4,23.6,27.9,7.2,Чарджоу
126,1913-05-05,15,21.3,26.2,0,Чарджоу
127,1913-05-06,15.5,23,36.2,0,Чарджоу
128,1913-05-07,16.3,25.6,33.3,0,Чарджоу
129,1913-05-08,19.1,19.8,24.5,0,Чарджоу
130,1913-05-09,15.5,22.8,28.6,0,Чарджоу
131,1913-05-10,14.1,23.4,30.1,0,Чарджоу
132,1913-05-11,16.3,23.8,32,0,Чарджоу
133,1913-05-12,17.3,26.7,33.6,0,Чарджоу
134,1913-05-13,17.8,26.8,35.1,0,Чарджоу
135,1913-05-14,18.5,27.2,34.9,0,Чарджоу
136,1913-05-15,18.3,27.5,35,0,Чарджоу
137,1913-05-16,20,29.6,36.8,0,Чарджоу
138,1913-05-17,22.9,28.1,34,0,Чарджоу
139,1913-05-18,18.4,25.7,31.7,0,Чарджоу
140,1913-05-19,16.8,25.7,32.6,0,Чарджоу
141,1913-05-20,17.5,28.9,34.1,0,Чарджоу
142,1913-05-21,17.9,22.8,28.1,0,Чарджоу
143,1913-05-22,12.4,19.6,25.4,0,Чарджоу
144,1913-05-23,15,21.3,27.6,0,Чарджоу
145,1913-05-24,13.4,23.6,31,0,Чарджоу
146,1913-05-25,18.5,28.3,34.5,0,Чарджоу
147,1913-05-26,21.5,25.9,31.8,0,Чарджоу
148,1913-05-27,19.4,28.6,35.4,0,Чарджоу
149,1913-05-28,21.4,26.7,31.9,0,Чарджоу
150,1913-05-29,16.1,24.2,31.1,0,Чарджоу
151,1913-05-30,15.1,26.9,34.3,0,Чарджоу
152,1913-05-31,20.4,23.9,29.1,0,Чарджоу
154,1913-06-01,16.4,25.6,31.7,0,Чарджоу
155,1913-06-02,18.1,25.3,31,0,Чарджоу
156,1913-06-03,18.6,24.5,29.3,0,Чарджоу
157,1913-06-04,17.4,23.2,28.6,0,Чарджоу
158,1913-06-05,16.8,24.8,30.9,0,Чарджоу
159,1913-06-06,16.3,27.3,34.8,0,Чарджоу
160,1913-06-07,20.9,25.6,31.2,0,Чарджоу
161,1913-06-08,18.5,24.7,31,0,Чарджоу
162,1913-06-09,16,21,25,0,Чарджоу
163,1913-06-10,15.5,23.9,29.7,0,Чарджоу
164,1913-06-11,16.9,25.4,32,0,Чарджоу
165,1913-06-12,17.9,26.1,32.6,0,Чарджоу
166,1913-06-13,15.9,25.2,33.2,0,Чарджоу
167,1913-06-14,17.2,26.6,34.3,0,Чарджоу
168,1913-06-15,18.7,28.8,36.2,0,Чарджоу
169,1913-06-16,20.7,29.4,37.7,0,Чарджоу
170,1913-06-17,20.8,30.1,38,0,Чарджоу
171,1913-06-18,21.5,29.8,37.9,0,Чарджоу
172,1913-06-19,20.9,32.1,40.5,0,Чарджоу
173,1913-06-20,21.4,32.7,40.6,0,Чарджоу
174,1913-06-21,24.6,29.8,35.9,0,Чарджоу
175,1913-06-22,20.9,27.4,34.2,0,Чарджоу
176,1913-06-23,18.4,26.9,34.5,0,Чарджоу
177,1913-06-24,19.4,28.6,34.8,0,Чарджоу
178,1913-06-25,19.4,29.1,36.7,0,Чарджоу
179,1913-06-26,20.5,29.1,35.5,0,Чарджоу
180,1913-06-27,18.4,25.7,31.5,0,Чарджоу
181,1913-06-28,17.4,26.7,33.6,0,Чарджоу
182,1913-06-29,19,27.7,34.8,0,Чарджоу
183,1913-06-30,18.2,27.7,34.1,0,Чарджоу
185,1913-07-01,19.2,27.9,35.6,0,Чарджоу
186,1913-07-02,20.1,27.6,36.4,0,Чарджоу
187,1913-07-03,19.4,28.2,35,0,Чарджоу
188,1913-07-04,20.6,29,35.9,0,Чарджоу
189,1913-07-05,21.5,28.3,34.1,0,Чарджоу
190,1913-07-06,21.2,29.2,36,0,Чарджоу
191,1913-07-08,20,24.9,37.9,0,Чарджоу
192,1913-07-09,22.1,30.9,37.8,0,Чарджоу
193,1913-07-11,21.2,29.8,37.3,0,Чарджоу
194,1913-07-12,21.7,31.4,39.6,0,Чарджоу
195,1913-07-13,23.1,33,39.5,0,Чарджоу
196,1913-07-14,25.9,32,37.5,0,Чарджоу
197,1913-07-15,22.6,31.3,36.1,0,Чарджоу
