,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1941-03-01,-13.1,-5.3,1.5,0,Черновцы
2,1941-03-02,0.2,3.4,9.6,0.8,Черновцы
3,1941-03-03,-5,-0.9,3.5,0.1,Черновцы
4,1941-03-04,-3,-1,0.4,0.2,Черновцы
5,1941-03-05,-0.2,1.9,4.4,0.1,Черновцы
6,1941-03-06,1.1,2.2,3.3,0,Черновцы
7,1941-03-07,0.8,1.6,3.2,5.5,Черновцы
8,1941-03-08,1,2.2,3.6,16.9,Черновцы
9,1941-03-09,0.1,2.1,3.5,0.1,Черновцы
10,1941-03-10,1.5,2.9,4.6,0,Черновцы
11,1941-03-11,0.4,2.9,6.5,19.4,Черновцы
12,1941-03-12,-2.5,-1.4,0.9,1.6,Черновцы
13,1941-03-13,-6.5,-4.8,-1.7,0.4,Черновцы
14,1941-03-14,-8.5,-3,1.1,0.1,Черновцы
15,1941-03-15,-2.5,-0.2,1.7,0,Черновцы
16,1941-03-16,-3.1,3.9,7.5,0,Черновцы
17,1941-03-17,-7.1,-0.3,6,3.8,Черновцы
18,1941-03-18,-11.7,-8.4,-5.4,0.2,Черновцы
19,1941-03-19,-7.6,-2.4,0.7,0.3,Черновцы
20,1941-03-20,-2.8,-1,0.5,0.5,Черновцы
21,1941-03-21,-1.8,-0.3,1.4,0.2,Черновцы
22,1941-03-22,-2.5,1,5.9,0.3,Черновцы
23,1941-03-23,-3.6,1.7,6.4,4,Черновцы
24,1941-03-24,-0.6,0.3,4.4,0,Черновцы
25,1941-03-25,-3.6,0.4,9.7,0,Черновцы
26,1941-03-26,-1.4,0.8,2.7,5.7,Черновцы
27,1941-03-27,0,2.4,5.5,0.8,Черновцы
28,1941-03-28,1.1,4.5,7.6,1.2,Черновцы
29,1941-03-29,3.5,9.3,16.6,0.9,Черновцы
30,1941-03-30,6.4,10,15.7,2.1,Черновцы
31,1941-03-31,2.5,11,17.6,0.5,Черновцы
33,1941-04-01,6,12.1,20.6,0,Черновцы
34,1941-04-02,4.5,10.3,16.1,4.4,Черновцы
35,1941-04-03,3.9,10.5,18.7,0,Черновцы
36,1941-04-04,4.9,12,17.1,0,Черновцы
37,1941-04-05,7.3,15,23.1,0,Черновцы
38,1941-04-06,9,16.8,26.1,0,Черновцы
39,1941-04-07,6.5,12.9,20.7,0,Черновцы
40,1941-04-08,2.5,5.8,13.5,13.7,Черновцы
41,1941-04-09,-0.6,0.8,3.8,3.7,Черновцы
42,1941-04-10,-2,-1.1,0.2,2.5,Черновцы
43,1941-04-11,-2,-0.8,1.4,1.2,Черновцы
44,1941-04-12,-1.6,1.2,4.5,0,Черновцы
45,1941-04-13,0.3,4.5,9.6,0,Черновцы
46,1941-04-14,4.2,7.8,12,0.9,Черновцы
47,1941-04-15,6.6,12.5,20.5,0,Черновцы
48,1941-04-16,6.9,11.6,15.6,0,Черновцы
49,1941-04-17,7.2,8.2,13.6,42.6,Черновцы
50,1941-04-18,6,8.6,12,8.4,Черновцы
51,1941-04-19,8.7,10.8,14.6,0,Черновцы
52,1941-04-20,5.2,10.5,19.1,0.5,Черновцы
53,1941-04-21,7.6,12.2,16.6,27.1,Черновцы
54,1941-04-22,6.4,9.8,14.3,0.5,Черновцы
55,1941-04-23,4,7.4,12.5,0,Черновцы
56,1941-04-24,3.4,9.2,14.5,2.8,Черновцы
57,1941-04-25,2.4,5.1,9.9,2,Черновцы
58,1941-04-26,4,6,7.9,16.3,Черновцы
59,1941-04-27,7.5,10.6,16.9,24,Черновцы
60,1941-04-28,8.5,10.2,12.5,10.1,Черновцы
61,1941-04-29,7.5,9,12,0,Черновцы
