,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1937-01-01,-17.6,-12.8,-7,0,Чимбай
2,1937-01-02,-21.8,-14.6,-9.3,0,Чимбай
3,1937-01-03,-12,-5.6,-0.5,0,Чимбай
4,1937-01-04,-4.4,-1.5,3,0,Чимбай
5,1937-01-05,-3.1,-1.3,1,0,Чимбай
6,1937-01-06,-10.4,-4.7,0.5,0,Чимбай
7,1937-01-07,-14.4,-9.1,-3.4,0,Чимбай
8,1937-01-08,-11.3,-7.4,-3.6,0,Чимбай
9,1937-01-09,-8.8,-7.6,-5,0,Чимбай
10,1937-01-10,-10,-5.5,0.8,0,Чимбай
11,1937-01-11,-16.3,-11.8,-4.8,0,Чимбай
12,1937-01-12,-18.2,-11.9,-2.3,0,Чимбай
13,1937-01-13,-16.7,-10,-2.3,0,Чимбай
14,1937-01-14,-16.9,-12,-6.7,0,Чимбай
15,1937-01-15,-15.7,-12.1,-5.9,0,Чимбай
16,1937-01-16,-18.4,-12.8,-5,0,Чимбай
17,1937-01-17,-16.1,-12.2,-6,0,Чимбай
18,1937-01-18,-15.9,-12.6,-7.7,0,Чимбай
19,1937-01-19,-19.2,-13.6,-5.4,0,Чимбай
20,1937-01-20,-12,-8.5,-4.4,1.7,Чимбай
21,1937-01-21,-5.6,-2.4,0.2,1,Чимбай
22,1937-01-22,-3.7,-1.6,0,0,Чимбай
23,1937-01-23,-2.7,-0.4,2.2,0,Чимбай
24,1937-01-24,-3.5,-1.8,1,0.7,Чимбай
25,1937-01-25,-7.3,-5.6,-2,1.1,Чимбай
26,1937-01-26,-8.5,-7.4,-6.5,8.5,Чимбай
27,1937-01-27,-15.9,-9,-4.5,0.6,Чимбай
28,1937-01-28,-29.5,-21.4,-12,0,Чимбай
29,1937-01-29,-24.6,-11.7,-2.9,0,Чимбай
30,1937-01-30,-6.7,-1.2,2.8,0,Чимбай
31,1937-01-31,0.4,4.6,12.1,0,Чимбай
33,1937-02-01,-8.6,-2.5,3.4,0,Чимбай
34,1937-02-02,-11.9,-11.2,-8.5,0.2,Чимбай
35,1937-02-03,-11,-9,-7,0,Чимбай
36,1937-02-04,-12.6,-9.7,-2.5,0,Чимбай
37,1937-02-05,-18.1,-12.6,-6.5,0,Чимбай
38,1937-02-06,-13.5,-7.6,-1,0,Чимбай
39,1937-02-07,-12.6,-6.6,-0.6,0,Чимбай
40,1937-02-08,-7.9,-4.4,0.6,0,Чимбай
41,1937-02-09,-10.7,-6.7,-0.5,0,Чимбай
42,1937-02-10,-7.9,-2.6,2.3,0,Чимбай
43,1937-02-11,-3.2,-1.8,3.5,0,Чимбай
44,1937-02-12,-2.6,0.8,6,0,Чимбай
45,1937-02-13,-0.6,1,4.7,0,Чимбай
46,1937-02-14,-1.1,-0.2,0.9,0,Чимбай
47,1937-02-15,0.2,0.6,1.6,0,Чимбай
48,1937-02-16,-0.9,0.5,1.8,0.2,Чимбай
49,1937-02-17,-1.6,-0.4,1.6,0,Чимбай
50,1937-02-18,-7.5,-1.8,2.4,0,Чимбай
51,1937-02-19,-3.5,-2.6,1.2,14.4,Чимбай
52,1937-02-20,-6.2,-4.5,-2,2,Чимбай
53,1937-02-21,-10.6,-6,-2.4,1.6,Чимбай
54,1937-02-22,-7.6,-6.2,-4,0.9,Чимбай
55,1937-02-23,-7.3,-5.9,-3.1,0.2,Чимбай
56,1937-02-24,-6.6,-5.3,-3.6,0,Чимбай
57,1937-02-25,-8.1,-5.1,-1.5,0,Чимбай
58,1937-02-26,-4.5,-2.2,0.9,0,Чимбай
59,1937-02-27,-4.8,-3,-1,0,Чимбай
60,1937-02-28,-6.1,-3.1,-0.5,0.1,Чимбай
62,1937-03-01,-6.9,-4.2,-0.4,0,Чимбай
63,1937-03-02,-13.4,-8.9,-3.4,1.4,Чимбай
64,1937-03-03,-17.7,-13,-8,0,Чимбай
65,1937-03-04,-15.4,-11.9,-7,0,Чимбай
66,1937-03-05,-17.7,-12.4,-7.4,0,Чимбай
67,1937-03-06,-16.5,-11,-4.6,0,Чимбай
68,1937-03-07,-16.4,-10,-1.9,0,Чимбай
69,1937-03-08,-11.8,-6.4,-0.1,0,Чимбай
70,1937-03-09,-6.5,-1.8,4.4,0,Чимбай
71,1937-03-10,-4.4,1.5,7.6,0,Чимбай
72,1937-03-11,-3,2.8,11.1,0,Чимбай
73,1937-03-12,-3.2,4,13.7,0,Чимбай
74,1937-03-13,-1.5,6.4,16.8,0,Чимбай
75,1937-03-14,0.8,3.7,9.7,0,Чимбай
76,1937-03-15,-0.2,1.8,4.7,5.4,Чимбай
77,1937-03-16,0.8,2.7,8.4,0.2,Чимбай
78,1937-03-17,-2.2,3.8,12.1,0,Чимбай
79,1937-03-18,-1.9,5.6,15.7,0,Чимбай
80,1937-03-19,0,8.8,20.3,0,Чимбай
81,1937-03-20,3,7,15.1,0,Чимбай
82,1937-03-21,2.7,5.1,8.6,0.1,Чимбай
83,1937-03-22,-1.9,3.4,7.6,0,Чимбай
84,1937-03-23,-1.4,1.8,5.4,0.7,Чимбай
85,1937-03-24,1.2,3,7.1,0,Чимбай
86,1937-03-25,-2.2,2,8.1,0,Чимбай
87,1937-03-26,-2.5,1.4,6.1,0,Чимбай
88,1937-03-27,-0.6,4.7,11.1,0.3,Чимбай
89,1937-03-28,-0.5,3.8,11.1,0.3,Чимбай
90,1937-03-29,1.6,3.7,7.9,5.8,Чимбай
91,1937-03-30,0.6,7.6,16.1,0,Чимбай
92,1937-03-31,5.7,9.4,15.1,0,Чимбай
94,1937-04-01,0.6,7.8,16.1,0,Чимбай
95,1937-04-02,4.1,9.4,14.9,0,Чимбай
96,1937-04-03,1.7,7.1,13.6,0,Чимбай
97,1937-04-04,0.4,2.6,6.7,0,Чимбай
98,1937-04-05,-2.8,4.1,11.7,0,Чимбай
99,1937-04-06,3.2,6.1,12.1,0,Чимбай
100,1937-04-07,1.4,8.8,18,0,Чимбай
101,1937-04-08,5,8.5,13.6,0,Чимбай
102,1937-04-09,2,4.9,9.2,0,Чимбай
103,1937-04-10,-1.2,5.8,11.7,0,Чимбай
104,1937-04-11,6.6,8.8,12.1,0.1,Чимбай
105,1937-04-12,3.3,7.4,9.3,0.1,Чимбай
106,1937-04-13,3.8,7.1,11.8,0.5,Чимбай
107,1937-04-14,-1.5,4.4,11.1,0,Чимбай
108,1937-04-15,-0.7,1.4,4,0,Чимбай
109,1937-04-16,-6.1,2.7,10.6,0,Чимбай
110,1937-04-17,-2.3,6.1,13.2,0,Чимбай
112,1937-11-14,-4.2,-1.2,5.4,0,Чимбай
113,1937-11-15,-10.9,-6.6,2.1,0,Чимбай
114,1937-11-16,-11.7,-5.8,4.9,0,Чимбай
115,1937-11-17,-8.9,-4.8,1,0,Чимбай
116,1937-11-18,-11.1,-6.8,-2,0,Чимбай
117,1937-11-19,-12.4,-7.9,-3,0,Чимбай
118,1937-11-20,-11.2,-5,2,0,Чимбай
119,1937-11-21,-9.7,-4.4,2,0,Чимбай
120,1937-11-22,-11.8,-7,-1.7,0,Чимбай
121,1937-11-23,-11,-5,5.6,0,Чимбай
122,1937-11-24,-11.1,-6.1,-0.5,0,Чимбай
123,1937-11-25,-13,-6.8,0.8,0,Чимбай
124,1937-11-26,-10.2,-3.4,6.3,0,Чимбай
125,1937-11-27,-6.3,0.8,10.1,0,Чимбай
126,1937-11-28,-0.6,6.2,18.3,0,Чимбай
127,1937-11-29,-0.8,6.8,17.9,0,Чимбай
128,1937-11-30,1.5,7.5,12.8,0,Чимбай
130,1937-12-01,0.3,4,10.9,0,Чимбай
131,1937-12-02,-0.3,2.8,6.4,6.6,Чимбай
132,1937-12-03,-2.2,0,3.5,6.7,Чимбай
133,1937-12-04,-6,-2.8,1.7,0,Чимбай
134,1937-12-05,-7.3,-3.2,1.5,0,Чимбай
135,1937-12-06,-6.9,-2,4.2,0,Чимбай
136,1937-12-07,-5.5,-0.9,4.1,0,Чимбай
137,1937-12-08,-2.2,2.8,7.2,0,Чимбай
138,1937-12-09,1.3,2,3.5,0,Чимбай
139,1937-12-10,-1.2,3.3,10.4,0,Чимбай
140,1937-12-11,-2.2,0.1,3.6,0,Чимбай
141,1937-12-12,-3.5,0.2,4.9,0,Чимбай
142,1937-12-13,-4.5,1.2,11.1,0,Чимбай
143,1937-12-14,-4.7,-1.2,5,0,Чимбай
144,1937-12-15,-13.1,-9.3,-4.5,0,Чимбай
145,1937-12-16,-14.6,-10.5,-5.7,0,Чимбай
146,1937-12-17,-15.1,-9.4,-3,0,Чимбай
147,1937-12-18,-13.4,-8.1,-3,0,Чимбай
148,1937-12-19,-9.8,-6.4,-1.5,0,Чимбай
149,1937-12-20,-10.9,-5.3,3.4,0,Чимбай
150,1937-12-21,-9.8,-5.4,1.3,0,Чимбай
151,1937-12-22,-11.3,-8,-4.2,0,Чимбай
152,1937-12-23,-12.6,-9.3,-4,0,Чимбай
153,1937-12-24,-15.4,-10.4,-5,0,Чимбай
154,1937-12-25,-14.4,-10.3,-4.8,0,Чимбай
155,1937-12-26,-14.5,-11.1,-4.4,0,Чимбай
156,1937-12-27,-13.1,-9.6,-4.6,0,Чимбай
157,1937-12-28,-15.7,-11.8,-6.4,0,Чимбай
158,1937-12-29,-17.6,-12.8,-6.8,0,Чимбай
