,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1925-04-08,-8.4,1.2,7.2,0,Чита
2,1925-04-09,-3.5,4.4,9.7,0,Чита
3,1925-04-10,0.1,5.4,12.4,0,Чита
4,1925-04-11,-7.5,-1.3,4.2,0,Чита
5,1925-04-12,-8.3,0.6,10.5,0,Чита
6,1925-04-13,-9.5,2.4,14.7,0,Чита
7,1925-04-14,-6.2,5.5,18.5,0,Чита
8,1925-04-15,-4.5,11.9,21.5,0,Чита
9,1925-04-16,3,6.1,16.3,0,Чита
10,1925-04-17,-4.9,4.7,14,0,Чита
11,1925-04-18,-10.4,-0.3,5,0,Чита
12,1925-04-19,-4.4,4.6,13.2,0,Чита
13,1925-04-20,-5,6.7,14.6,0,Чита
14,1925-04-21,-6.4,6.5,14.8,0,Чита
15,1925-04-22,0.5,9.8,17.5,0,Чита
16,1925-04-23,1.1,9.6,17.4,0,Чита
17,1925-04-24,-0.5,8.4,17.2,0,Чита
18,1925-04-25,-1.5,9.1,17.2,0,Чита
19,1925-04-26,-4.7,8.2,19.7,0,Чита
20,1925-04-27,-2.9,12,21.7,0,Чита
21,1925-04-28,1.9,11.3,18.4,0,Чита
22,1925-04-29,2.8,7.2,14,2.2,Чита
23,1925-04-30,-2.2,3.7,6.8,0.5,Чита
25,1925-05-01,-5.9,2.1,6.2,0,Чита
26,1925-05-02,-6.1,4,11.5,1.7,Чита
27,1925-05-03,-0.6,3.7,9,0,Чита
28,1925-05-04,-3.5,2.9,9.7,0,Чита
29,1925-05-05,-2.2,3.7,9,0,Чита
30,1925-05-06,-2.4,6.7,12.5,0,Чита
31,1925-05-07,-2,7,15,0,Чита
32,1925-05-08,-2.9,4.9,10.1,0,Чита
33,1925-05-09,-1.4,4.8,10.5,0,Чита
34,1925-05-10,-3.3,7,13.5,0,Чита
35,1925-05-11,-1.4,9.8,21.3,0,Чита
36,1925-05-12,-0.8,12.8,21.2,0,Чита
37,1925-05-13,5.8,12.7,19.5,0,Чита
38,1925-05-14,0.7,5.5,10.9,0,Чита
39,1925-05-15,-2.3,3.8,11.5,0,Чита
40,1925-05-16,-3.8,6.2,16.8,0,Чита
41,1925-05-17,-2.8,11.1,19.6,0,Чита
42,1925-05-18,7.1,12.6,17.6,0,Чита
43,1925-05-19,1.2,10.5,19.2,0,Чита
44,1925-05-20,0.1,11.5,17.6,0,Чита
45,1925-05-21,3.3,13.7,21.6,0,Чита
46,1925-05-22,2.7,10.8,18.8,0,Чита
47,1925-05-23,1.4,7.8,13.8,4.8,Чита
48,1925-05-24,6,9,11.6,1.2,Чита
49,1925-05-25,6.3,12.5,17.1,0,Чита
50,1925-05-26,5.8,16.6,23.5,0,Чита
51,1925-05-27,6.6,17.1,23.2,0,Чита
52,1925-05-28,5.5,16.7,25.6,0,Чита
53,1925-05-29,7.5,16.5,24.6,0,Чита
54,1925-05-30,8.1,17.2,24,0,Чита
55,1925-05-31,9.1,18.1,25.8,0.3,Чита
57,1925-06-01,7.8,18.9,25.3,0,Чита
58,1925-06-02,10,17.1,24.8,0,Чита
59,1925-06-03,8.2,20.1,27.8,0,Чита
60,1925-06-04,7,12.6,23,0,Чита
61,1925-06-05,-1.2,10.1,18.4,0,Чита
62,1925-06-06,0.1,17.1,25.6,0,Чита
63,1925-06-07,8.6,20.3,23.8,0,Чита
64,1925-06-08,10.9,19.3,25.2,0,Чита
65,1925-06-09,10,19.5,27,0,Чита
66,1925-06-10,9.9,17.7,28.3,0.8,Чита
67,1925-06-11,1.8,6.2,14.6,0,Чита
68,1925-06-12,1.6,8.6,13.8,0,Чита
69,1925-06-13,0.9,11.2,19,0,Чита
70,1925-06-14,7,17.7,24.8,0,Чита
71,1925-06-15,7,19.5,30,0,Чита
72,1925-06-16,11.2,20.6,27.8,0.8,Чита
73,1925-06-17,12.7,16.2,22.3,4.7,Чита
74,1925-06-18,8,19.5,25.5,0,Чита
75,1925-06-19,5.4,18.2,27,6.8,Чита
76,1925-06-20,8.8,13,20.6,0,Чита
77,1925-06-21,5.4,13.3,20,6.6,Чита
78,1925-06-22,9.9,13.9,20,0,Чита
79,1925-06-23,8.9,19.8,28.5,0,Чита
80,1925-06-24,12.5,18.1,24,0,Чита
81,1925-06-25,8,15.4,23.3,0,Чита
