,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-19,-34.2,-33.8,-27.4,0.1,Чульман
2,1936-01-20,-36,-30.8,-26.4,0,Чульман
3,1936-01-21,-34.4,-27.8,-23.8,0.1,Чульман
4,1936-01-23,-46.6,-31.8,-31.5,0.1,Чульман
5,1936-01-24,-36.4,-28.8,-24,1.7,Чульман
6,1936-01-25,-30.5,-28.1,-21.6,1.5,Чульман
7,1936-01-26,-40.6,-31.4,-27.9,0.4,Чульман
9,1936-02-11,-33,-23.3,-19,2.9,Чульман
10,1936-02-13,-35.4,-26.3,-21.2,0.6,Чульман
11,1936-02-15,-36.5,-27.8,-19.3,0,Чульман
12,1936-02-16,-32.2,-26.4,-18.6,0.1,Чульман
13,1936-02-17,-36.2,-28.4,-20.4,0,Чульман
14,1936-02-18,-40,-31.5,-21,0,Чульман
15,1936-02-25,-42.6,-28.5,-20.5,0.2,Чульман
17,1936-03-01,-33.9,-26.4,-18,0,Чульман
18,1936-03-02,-28.9,-23.7,-18.8,1.1,Чульман
19,1936-03-03,-38.4,-27.5,-18.5,0,Чульман
20,1936-03-04,-34.9,-24.8,-14.3,0,Чульман
21,1936-03-05,-38.6,-26,-12.9,0,Чульман
22,1936-03-06,-36.5,-24.5,-12,0,Чульман
23,1936-03-07,-37.1,-25,-10.9,0,Чульман
24,1936-03-08,-37.4,-26.4,-11.6,0,Чульман
25,1936-03-09,-38,-27.6,-12.9,0,Чульман
26,1936-03-10,-30.4,-19.1,-8,0,Чульман
27,1936-03-11,-20.5,-14.8,-11,1.5,Чульман
28,1936-03-12,-36.3,-26,-11.2,0,Чульман
29,1936-03-13,-39.9,-28.4,-13.6,0,Чульман
30,1936-03-15,-42.9,-29.6,-15.1,0,Чульман
31,1936-03-16,-37.9,-27.5,-16.5,0,Чульман
32,1936-03-17,-26.4,-23.3,-11.3,0,Чульман
33,1936-03-18,-24.4,-13.6,-5,0.8,Чульман
34,1936-03-19,-17.9,-12.2,-6.5,1.5,Чульман
35,1936-03-20,-35.9,-27.2,-16.8,0,Чульман
36,1936-03-21,-44.9,-33.3,-19.2,0,Чульман
37,1936-03-22,-42.6,-29.4,-15.1,0,Чульман
38,1936-03-23,-41.9,-28.4,-13.6,0,Чульман
39,1936-03-24,-38.5,-22.2,-8.5,0,Чульман
40,1936-03-25,-10.2,-4.5,1.8,0.1,Чульман
41,1936-03-26,-19.7,-10.6,-4.5,0,Чульман
42,1936-03-27,-21.4,-14.3,-8,0,Чульман
43,1936-03-28,-32,-19.2,-3.5,0,Чульман
44,1936-03-29,-26.9,-15.2,-0.3,0,Чульман
45,1936-03-30,-25.2,-11.6,2.5,0,Чульман
46,1936-03-31,-17.1,-9.1,-1.3,0,Чульман
48,1936-04-01,-11.1,-9.2,-5.1,1.2,Чульман
49,1936-04-02,-26.8,-17.6,-5.4,0,Чульман
50,1936-04-03,-25.5,-15.9,-3,0,Чульман
51,1936-04-04,-23.4,-13.6,-0.1,0,Чульман
52,1936-04-05,-22.4,-12.2,-0.5,0,Чульман
53,1936-04-06,-23.2,-12.4,-0.1,0,Чульман
54,1936-04-07,-8.3,-6.2,-2.8,1.6,Чульман
55,1936-04-08,-15.5,-9.9,-3.3,0.6,Чульман
56,1936-04-09,-14.7,-7.6,-2.1,0,Чульман
57,1936-04-10,-18.5,-8.1,-0.6,0,Чульман
58,1936-04-11,-17.6,-5,5.8,0,Чульман
59,1936-04-12,-10.7,-2.8,4.9,0,Чульман
60,1936-04-13,-8.9,-1.6,4.6,0,Чульман
61,1936-04-14,-9,-3.4,0.9,0,Чульман
62,1936-04-15,-18.1,-7.9,1.5,0,Чульман
63,1936-04-16,-17,-4.1,12.4,0,Чульман
64,1936-04-17,-10.4,-1,5.6,0,Чульман
65,1936-04-18,-1.3,2,6.4,0,Чульман
66,1936-04-19,-3,1.8,5.3,0,Чульман
67,1936-04-20,-5.3,-0.1,4.3,0,Чульман
68,1936-04-21,-4.9,-0.7,3.8,0.5,Чульман
69,1936-04-22,-11.8,-3.4,3,0,Чульман
70,1936-04-23,-6.3,-1.2,5.4,0,Чульман
71,1936-04-24,-4.9,0,5.3,0.2,Чульман
72,1936-04-25,-4.4,-1,4.2,0.5,Чульман
73,1936-04-26,-9.6,-1.9,3.1,0,Чульман
74,1936-04-27,-14.1,-3.8,4.1,0,Чульман
75,1936-04-28,-8.4,-1.2,4.9,0,Чульман
76,1936-04-29,-9.3,-1.6,4.2,0,Чульман
77,1936-04-30,-8.8,-1.6,4.6,0,Чульман
79,1936-05-01,-10.5,-2.5,5.7,0,Чульман
80,1936-05-02,-10.1,-0.2,7.4,0,Чульман
81,1936-05-03,-10.1,0.3,7.5,0,Чульман
82,1936-05-04,-0.1,4.2,7.7,0,Чульман
83,1936-05-05,-7.5,2.1,9.2,0,Чульман
84,1936-05-06,-2.5,2.8,8.9,0,Чульман
85,1936-05-07,-9.1,0.3,7,0,Чульман
86,1936-05-08,-10.6,1.4,10.1,0,Чульман
87,1936-05-09,-1.8,4.2,10.4,0.4,Чульман
88,1936-05-10,-0.4,1.6,5.3,8.8,Чульман
89,1936-05-11,-4.7,1.9,8.7,0,Чульман
90,1936-05-12,0.9,5.9,9.8,0,Чульман
91,1936-05-13,-0.1,6.5,12.2,0,Чульман
92,1936-05-14,-6.8,4.4,13.7,0,Чульман
93,1936-05-15,-3.8,6.4,13.8,0,Чульман
94,1936-05-16,-1.3,4.8,10.4,0,Чульман
95,1936-05-17,-2.6,6.6,12.6,0,Чульман
96,1936-05-18,-6.3,6.5,15.4,0,Чульман
