,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1915-04-01,-23.9,-8.2,1,0.9,Экимчан
2,1915-04-02,-13.1,-9,0,0,Экимчан
3,1915-04-03,-18.9,-6.7,0,1.8,Экимчан
4,1915-04-04,-5.9,-2.2,2.3,0,Экимчан
5,1915-04-05,-6.7,-1.7,2.3,0,Экимчан
6,1915-04-06,-5.3,-2.8,2.2,0,Экимчан
7,1915-04-07,-9.6,-4.4,-0.5,0,Экимчан
8,1915-04-08,-10.3,-4.5,0.3,0,Экимчан
9,1915-04-09,-18.2,-7,1.4,0,Экимчан
10,1915-04-10,-12.5,-6.8,0.3,0,Экимчан
11,1915-04-11,-10.2,-3.8,1,0,Экимчан
12,1915-04-12,-10.9,-2.7,3.9,0,Экимчан
13,1915-04-13,-8.3,-6.4,-2.5,0,Экимчан
14,1915-04-14,-14.7,-7,-0.4,0,Экимчан
15,1915-04-15,-13,-6.2,1.8,0,Экимчан
16,1915-04-16,-12.3,-4.5,0.1,0.1,Экимчан
17,1915-04-17,-12.7,-4.3,1.5,1.4,Экимчан
18,1915-04-18,-13.4,-10,-5.4,0,Экимчан
19,1915-04-19,-19.9,-11.6,-5.5,0,Экимчан
20,1915-04-20,-19.9,-9.2,-0.5,0,Экимчан
21,1915-04-21,-17.4,-5.8,0.4,0,Экимчан
22,1915-04-22,-9.9,-3.9,1.2,0,Экимчан
23,1915-04-23,-14.2,-4.3,2,0.1,Экимчан
24,1915-04-24,-13.9,-4.4,2.5,0,Экимчан
25,1915-04-25,-11.2,-2.6,3.1,0,Экимчан
26,1915-04-26,-13,-0.7,7.7,2.7,Экимчан
27,1915-04-27,-3.9,0.1,3.8,10.1,Экимчан
28,1915-04-28,-6.8,-2.8,-0.3,2.8,Экимчан
29,1915-04-29,-4.6,-1.7,2.1,0,Экимчан
30,1915-04-30,-14.4,-0.7,8.5,0,Экимчан
32,1915-05-01,-8.5,2.4,11.9,0,Экимчан
33,1915-05-02,-5.3,3.5,11,0.1,Экимчан
34,1915-05-03,-5.4,3,9.1,0,Экимчан
35,1915-05-04,-3,3.5,9.7,1.4,Экимчан
36,1915-05-05,-2.3,1.6,4.2,3.2,Экимчан
37,1915-05-06,-5,1.7,6.5,0,Экимчан
38,1915-05-07,-5.4,4.7,12.9,0,Экимчан
39,1915-05-08,-4.4,6.6,16.8,0,Экимчан
40,1915-05-09,-4.4,8.5,19.8,0,Экимчан
