,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1947-01-01,-6.4,-3.5,0.5,0.7,Южно-Курильск
2,1947-01-02,-10,-6.6,-2.5,0,Южно-Курильск
3,1947-01-03,-10.4,-8,-4.4,0.2,Южно-Курильск
4,1947-01-04,-10.9,-8.1,-5.5,7.2,Южно-Курильск
5,1947-01-05,-9.5,-5.3,-2.4,1.1,Южно-Курильск
6,1947-01-06,-5.5,-0.6,3,0.6,Южно-Курильск
7,1947-01-07,-8,-5.1,2.9,0.6,Южно-Курильск
8,1947-01-08,-8.5,-7.2,-5,1.8,Южно-Курильск
9,1947-01-09,-10.6,-5.2,0,0,Южно-Курильск
10,1947-01-10,-6.5,-2.5,1.5,0.2,Южно-Курильск
11,1947-01-11,-5.1,-1.4,1,0,Южно-Курильск
12,1947-01-12,-0.6,0.6,1.7,0,Южно-Курильск
13,1947-01-13,-2.6,-0.4,1.5,4.2,Южно-Курильск
14,1947-01-14,-5.2,-3.6,-0.8,0,Южно-Курильск
15,1947-01-15,-5.5,-4.1,-2,0,Южно-Курильск
16,1947-01-16,-9.6,-8.3,-4,2.3,Южно-Курильск
17,1947-01-17,-8.3,-5,-2.5,0,Южно-Курильск
18,1947-01-18,-7.2,-2,0.7,0,Южно-Курильск
19,1947-01-19,-2.5,-0.8,0.8,0,Южно-Курильск
20,1947-01-20,-3.5,-2.4,-0.4,1,Южно-Курильск
21,1947-01-21,-11,-6.5,-2.5,2,Южно-Курильск
22,1947-01-22,-9.5,-2.2,1.4,1.2,Южно-Курильск
23,1947-01-23,-2.5,-1,0.6,2.9,Южно-Курильск
24,1947-01-24,-5.1,-3.4,-0.7,3.1,Южно-Курильск
25,1947-01-25,-11.7,-4.7,-0.7,0,Южно-Курильск
26,1947-01-26,-4.5,-1.1,2.2,1.7,Южно-Курильск
27,1947-01-27,-10.5,-7.5,-3.9,0,Южно-Курильск
28,1947-01-28,-11.5,-8.7,-4.5,0,Южно-Курильск
29,1947-01-29,-11.5,-5.2,-2.1,0,Южно-Курильск
30,1947-01-30,-6.6,-2.1,0.2,2.5,Южно-Курильск
31,1947-01-31,-9.5,-4.7,0.4,0.2,Южно-Курильск
33,1947-02-01,-11.6,-4.2,-0.7,1.6,Южно-Курильск
34,1947-02-02,-8.5,-5.6,-3,0,Южно-Курильск
35,1947-02-03,-7.5,-5.2,-2,0,Южно-Курильск
36,1947-02-04,-7.9,-3.1,0,1,Южно-Курильск
37,1947-02-05,-1.7,-0.6,2.3,3.4,Южно-Курильск
38,1947-02-06,-5.5,-3.4,-0.4,2.3,Южно-Курильск
39,1947-02-07,-9.2,-6.7,-4.5,1.7,Южно-Курильск
40,1947-02-08,-10.7,-8.1,-5,0,Южно-Курильск
41,1947-02-09,-7.1,-3.2,1.5,0,Южно-Курильск
42,1947-02-10,-7.8,-6.2,-4.4,0.1,Южно-Курильск
43,1947-02-11,-9.8,-8.4,-6.1,2.2,Южно-Курильск
44,1947-02-12,-11.6,-10.4,-8.3,0.3,Южно-Курильск
45,1947-02-13,-10.5,-8.8,-6.5,0.2,Южно-Курильск
46,1947-02-14,-7.1,-4.9,-2,0.1,Южно-Курильск
47,1947-02-15,-10.3,-5.8,-3,0,Южно-Курильск
48,1947-02-16,-5.4,-3.4,-0.1,0,Южно-Курильск
49,1947-02-17,-5.8,-4.1,-1.3,0.2,Южно-Курильск
50,1947-02-18,-6.5,-4.2,-0.4,1,Южно-Курильск
51,1947-02-19,-10.5,-8.2,-5.1,0,Южно-Курильск
52,1947-02-20,-10.5,-9.1,-5.6,0.3,Южно-Курильск
53,1947-02-21,-12,-9.6,-6.2,1.1,Южно-Курильск
54,1947-02-22,-14.4,-7.9,-2,0,Южно-Курильск
55,1947-02-23,-10,-2.8,1.5,0,Южно-Курильск
56,1947-02-24,-5.6,-1.8,2.6,0,Южно-Курильск
57,1947-02-25,-10.8,-8.2,-5,0,Южно-Курильск
58,1947-02-26,-13,-9.8,-4.5,0,Южно-Курильск
