,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-57.2,-48,-46,0,Якутск
2,1900-01-02,-56,-55.1,-54.5,0,Якутск
3,1900-01-03,-57.5,-55.3,-54.4,0,Якутск
4,1900-01-04,-54.8,-51.9,-50.5,0,Якутск
5,1900-01-05,-53.6,-52.3,-51.5,0,Якутск
6,1900-01-07,-54.5,-53.2,-51.8,0,Якутск
7,1900-01-08,-52.9,-50.6,-50.1,0,Якутск
8,1900-01-09,-54.2,-53.4,-52.6,0,Якутск
9,1900-01-10,-54.1,-53,-51.5,0,Якутск
10,1900-01-11,-55.9,-53.8,-53,0,Якутск
11,1900-01-12,-54.2,-52.8,-52,0,Якутск
12,1900-01-13,-53.3,-51.7,-50.3,0,Якутск
13,1900-01-14,-52.9,-52.3,-52,0,Якутск
14,1900-01-15,-54.2,-52.4,-51.5,0.5,Якутск
15,1900-01-16,-51.5,-45.8,-43.5,0,Якутск
16,1900-01-17,-48.6,-47.2,-46.5,0,Якутск
17,1900-01-18,-51.1,-50,-49,0,Якутск
18,1900-01-19,-51.5,-49.6,-47.2,0,Якутск
19,1900-01-20,-53,-51.4,-50,0,Якутск
20,1900-01-21,-57.5,-56.6,-55.9,0,Якутск
21,1900-01-22,-57.6,-55.9,-54.8,0,Якутск
22,1900-01-23,-58.6,-52.3,-49.2,0,Якутск
23,1900-01-24,-48.6,-45.7,-43.6,0,Якутск
24,1900-01-25,-51.4,-50.6,-49.9,0,Якутск
25,1900-01-26,-51.3,-49.2,-47.6,0,Якутск
26,1900-01-27,-51.5,-49.2,-47,0,Якутск
27,1900-01-28,-51,-46.8,-44.4,1,Якутск
28,1900-01-29,-48.9,-46.8,-44.9,0,Якутск
29,1900-01-30,-50.5,-48.2,-44.1,0,Якутск
30,1900-01-31,-56.4,-54.4,-52.8,0,Якутск
32,1900-02-01,-59.5,-58.1,-56.7,0,Якутск
33,1900-02-02,-61.5,-59.7,-58.7,0,Якутск
34,1900-02-03,-62.8,-60.1,-58.7,0,Якутск
35,1900-02-04,-60.5,-54,-51.9,0,Якутск
36,1900-02-05,-52.5,-49,-47.6,0,Якутск
